Smallest_Island_group	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Lomlom	1	1.4694441738000001	1	10.243395126	-10.31128772135	166.2577080875	11	3185	#6FDAA7	1	32766	32766	27.283090591430664	50.163333892822266	3254.40673828125	16.353599548339844	6.970931804445797	10.31128772135
Lopevi	1	203.4785414795	1	149.1796258246	-16.5100450729	168.324882503	11	3200	#A4A286	1	0.1403	0.23563333333333333	25.561933517456055	154.83694458007812	1891.7314453125	49.7042236328125	0.7331467226957173	16.5100450729
Luangiua	1	40.4343866792	1	215.4824763882	-5.339245056017392	159.48092871993478	2	500	#A0C8AD	1	32766	32766	27.492624448693316	26.07292880182681	3284.5506220278535	20.502884242845617	5.32918869520153	5.339245056017392
Maewo	1	2751.9102265554	3	1243.183739571	-15.126309147557143	168.17571982485714	11	3200	#57D583	3	6554.21597998	8192.404124975	26.12545449393136	125.85233524867466	2201.7089494977677	42.182660239083425	0.45175301416976393	15.126309147557143
Mafea	NA	25.1915471776	1	43.574684535	-15.4197639993	167.2287371175	11	3200	#E5BEB7	1	32766	32766	26.07430076599121	129.37710571289062	2157.74462890625	44.580589294433594	1.7297343520744948	15.4197639993
Malakula	1	193685.546712762	33	40941.084743496	-16.39865610623125	167.6356258513125	11	3200	#A9D446	33	619.1946169603774	820.12817248	25.595173954963684	153.32856559753418	1919.7436637878416	50.035765290260315	0.21137914231779062	16.39865610623125
Mangaia	2	361.0995851393	1	204.7432242275	-21.9128317851	-157.925155666	4	960	#645B49	1	1.705899925	1.7705	23.587480545043945	180.8047790527344	1448.5081787109375	31.59469223022461	0.5669993338500153	21.9128317851
Mangareva	2	804.8130777624999	1	3122.0180817524997	-23.141204395423078	-134.928802381	4	920	#C6A15F	1	4681.686164271428	5958.295663609091	23.268709109379696	175.59753711407	1839.483647273137	13.33449726838332	3.8791840838771834	23.141204395423078
Mapia	NA	0	1	0	0.896674	134.304599	2	500	#7C8293	1	32766	32766	27.574583053588867	11.396363258361816	2123.16845703125	13.87479019165039	NA	0.896674
Marutea	2	495.61587897000004	1	3045.1604193139997	-21.519669634167442	-136.06296721769766	4	1100	#86DDE3	1	8936.309627272727	10922.023422222223	24.11062768448231	153.86912430164426	1877.415402434593	12.895019553428472	6.144194624358121	21.519669634167442
Mataso	2	3.8158486412	1	13.3628639998	-17.2575692123	168.418899677	11	3200	#C9F3DE	1	32766	32766	25.39692115783691	163.90481567382812	1804.1861572265625	51.264041900634766	3.5019376438363325	17.2575692123
Merelava group	NA	21.501160464199998	1	27.136004304	-14.4177579797	168.0523986605	11	3200	#75CFE7	1	32766	32766	26.4689998626709	108.66564178466795	2384.96875	36.86740493774414	1.262071614654575	14.4177579797
Morane	2	3.9426304488	1	46.1963805936	-23.150653437214284	-137.11822409714284	4	1100	#86A1C9	1	32765	32765	23.232088088989254	180.15646362304688	1814.68896484375	14.559645652770996	11.717147014795813	23.150653437214284
Mortlock	NA	344.4411532824	1	3056.9316953184	5.531753297826415	153.56311739962266	9	2300	#567F32	1	6553.322926666667	8191.522291666667	27.418674972822082	11.817375524988714	3525.277463517099	25.87772765249576	8.87504778737077	5.531753297826415
Mota	1	90.54150326829999	1	95.4517895765	-13.8526107522	167.693802862	11	3200	#CACFE7	1	1.380025	1.3976666	26.622573852539062	100.4352798461914	2473.38623046875	34.66474914550781	1.054232436296639	13.8526107522
Mota Lava	1	262.3323620448	1	290.6159091147	-13.69400204975	167.6489375585	11	3200	#93DC99	1	6554.26537996	8192.481049975	26.622573852539062	100.4352798461914	2473.38623046875	34.66474914550781	1.1078156993267565	13.69400204975
Mwoakilloa	NA	3.6689594456	1	24.0102519488	6.6720876815666665	159.778407323	6	1700	#32B079	1	32766	32766	27.367307662963867	17.994234085083008	3402.984375	21.674455642700195	6.544158447320615	6.6720876815666665
Māngarongaro	2	29.819451292	1	223.2828267336	-9.033042457566667	-157.97036915446665	2	550	#EC9B3C	1	32766	32766	27.22708320617676	23.355909029642746	2572.372762044271	31.93851629892985	7.487824794197423	9.033042457566667
Namonuito	NA	10.5811787592	1	56.339096464	8.76085603264	150.2201840791	9	2300	#B2CFF5	1	32766	32766	27.31109199523926	27.138606452941893	2869.0166015625	22.131735801696777	5.324463157284337	8.76085603264
Napuka	2	168.7237204806	1	706.9789571598	-14.162864349671429	-141.26945372742858	4	1100	#DC70F2	1	6553.65654	8191.8582624875	26.57788848876953	70.52010345458984	1940.623291015625	32.066497802734375	4.1901574665732255	14.162864349671429
Nauru	NA	158.71591445849998	1	127.64600773119999	-0.5196901836	166.930007871	8	2150	#528AED	1	0.717225	0.7159333333333333	27.30586624145508	15.498370170593262	1421.695556640625	24.185972213745117	0.8042420205100229	0.5196901836
Nendö	NA	23956.8950715668	3	10986.1130599506	-10.753269574477777	165.97188588	11	3185	#45C1EE	3	1366.3455541416668	1725.5235210421054	27.21858851114909	56.62877400716146	3146.3956705729165	17.93902015686035	0.45857833526137737	10.753269574477777
Nengone	3	5977.453760874	1	1349.1855428715	-21.476860671525	167.8714882165	11	3050	#BC3AAB	1	6554.80693996	8193.056424925	23.451640605926514	223.04132461547852	1228.1488647460938	53.33115482330322	0.2257124181708814	21.476860671525
Ngatik	3	4.5052739530000006	1	27.081973343	5.841294425571428	157.31158955128572	7	1900	#B4E997	1	32766	32766	27.39365005493164	13.315789222717283	3567.3876953125	24.35904884338379	6.011171268501105	5.841294425571428
Nguluwan	NA	2.2936474752000002	1	28.7662401698	8.401374545953846	137.48920702769232	9	2400	#7B6FF0	1	32766	32766	27.389738963200497	21.395051369300255	3078.0142916165864	18.013138110821064	12.541700710695158	8.401374545953846
Ngā Pū Toru	2	2123.4225614425	1	3175.388383035	-19.1341440181	-159.31371679404762	4	900	#F4EBE9	1	4682.203792828572	5958.733309036364	24.961372557140532	140.73449198404947	1710.2473551432292	33.76245335170201	1.495410494686404	19.1341440181
Nia Matai	3	188696.546958226	1	108034.2049434082	-16.907646167000856	-150.7999925587607	4	960	#F2F17C	1	1468.1104820791045	1928.3707490039217	25.962527071308887	103.331421876565	2064.782156658988	28.503696832901394	0.5725287859524266	16.907646167000856
Niu	2	4.734757106	1	27.299864188799997	-7.273516890385714	177.16860541614287	4	1070	#E1D1C1	1	32766	32766	27.47735023498535	17.994016647338867	3798.083251953125	13.170551300048828	5.765842592897731	7.273516890385714
Niuafoou	NA	367.45608670750005	1	189.2575115494	-15.5972130209	-175.635532195	9	2300	#9A7D53	1	0.65165	0.6071	26.216264724731445	109.48291015625	2242.294921875	32.896148681640625	0.5150479700722757	15.5972130209
Niuatoputapu	NA	198.565312428	1	288.4560001173	-15.923576424775	-173.73992739425	9	2300	#EAC0E6	1	6554.38601994	8192.5781	26.219738006591797	107.40064239501952	2244.43896484375	32.26325607299805	1.452700859934408	15.923576424775
Niue	2	1864.770291181	1	478.22787083400004	-19.052013841	-169.862192027	8	2000	#5C4DD6	1	1.56367495	1.6396666666666666	24.77157211303711	156.13824462890625	1635.032470703125	37.08647918701172	0.2564540378488805	19.052013841
North Island (NZ)	2	77584958.0158754	1	5480798.605035192	-36.713643971745476	175.17440244124504	3	750	#E778E5	1	255.1856811111111	341.328269866782	15.966599662309187	313.5515411579056	1198.323096942691	17.27087350975862	0.07064254135336019	36.713643971745476
Northern Marianas	1	5211.7374769650005	1	5379.459194706	17.97807753180714	145.5826962025	1	185	#8EA33A	1	1928.319270564706	2521.3831307461537	26.391210283551896	113.2034808567592	1522.578639439174	66.06370489937919	1.0321815360966091	17.97807753180714
Nukumanu	NA	9.4361523238	1	94.9789379236	-4.521753275308695	159.41373867821738	2	500	#BACA85	1	32766	32766	27.526564390762992	23.84347625400709	3006.409774116848	20.201265335083008	10.065430767161605	4.521753275308695
Nukuoro	1	4.6988437772	1	52.591309124	3.8649320282333335	154.97630608171428	2	500	#EF2FF8	1	32766	32766	27.424253463745117	6.950807889302571	3075.9183175223216	29.705277851649697	11.192393622275032	3.8649320282333335
Nukuria	NA	172.917634005	1	1038.4238852235	-3.2471857113000002	154.60997897316668	2	500	#7EB47D	1	9361.47047142857	8191.3328125	27.43462610244751	28.32453966140747	2724.2689208984375	22.71807336807251	6.005309355513583	3.2471857113000002
Nukutaveke	2	2056.9547099628003	1	12641.8561690932	-21.607709282373683	-138.82440158271052	4	1100	#EDA8F2	1	6553.28848	8191.4725	24.07054951316432	158.50866137052836	1865.6346499794408	14.975228560598271	6.145908856360686	21.607709282373683
Oroluk	NA	595.0424129483999	1	665.0401300464	7.3544120446444445	154.38391317377778	9	2300	#50DCF2	1	32765	32765	27.356582782886647	20.098807864718967	3249.194317853009	21.63820471587005	1.1176348367356967	7.3544120446444445
Ouvea	NA	281.246935778	2	266.692045044	-20.5638527577	166.583052642	11	3050	#43CDCE	2	32766	32766	23.802875518798828	216.13429260253903	1289.364013671875	56.72006607055664	0.9482487135593584	20.5638527577
Ouvea (Iaai)	NA	0.2070007958	1	4.3244803594	-20.479149517	166.661500343	11	3050	#DD866C	1	32766	32766	24.092424392700195	209.83001708984375	1332.16796875	57.74764251708984	20.89112915091508	20.479149517
Ouvea (West Uvean)	NA	112.09357450440001	1	361.61072477370004	-20.59592422168	166.4944666898	2	500	#A59BEB	1	6553.75762	8192.112975	23.900371932983397	214.73599853515623	1298.992626953125	57.61350173950195	3.2259719290110223	20.59592422168
Paafang	NA	51.342121232100006	1	584.3458342916999	8.61144553409091	151.96010955112726	9	2300	#51C8AA	1	6553.42664	8191.701525	27.306213344227185	27.25220524181019	2872.9734419389206	23.03150704123757	11.381411992116067	8.61144553409091
Paama	1	235.6074170814	1	176.9311895316	-16.4713960687	168.221199383	11	3200	#93DAC5	1	1.545174925	1.5524333333333333	25.7229061126709	145.9342803955078	1998.6414794921875	47.23589324951172	0.7509576384451091	16.4713960687
Palau	2	16125.365409783999	1	10282.445941276	7.397721877304762	134.52803603295237	11	3100	#9CBDBC	1	1425.1839652130434	1927.9620588235293	27.426529838925315	18.103815442039853	3193.789597284226	20.85574722290039	0.6376566161432329	7.397721877304762
Pentecost	1	4622.554907028	5	1321.0881375960003	-15.673364099925	168.19439396800001	11	3200	#BD9790	5	6554.47639996	8192.678399975	25.95595979690552	134.21245193481445	2116.1792907714844	44.38287830352783	0.2857917675758606	15.673364099925
Pingelap	NA	4.3693206448	1	24.4355578722	6.2215224165	160.68989170733335	6	1700	#C8D1D3	1	32766	32766	27.375661849975582	15.874659538269045	3511.392822265625	22.029157638549805	5.5925302486740485	6.2215224165
Pohnpei	3	15497.009758754999	1	9540.326045506199	6.870608595855	158.21983348025	7	1900	#F058C7	1	1424.9773565217392	1724.8153736842105	27.36786651611328	17.92770471572876	3415.998400878906	21.70628700256348	0.6156236715354982	6.870608595855
Pollap	NA	3.35335955	1	22.6077311342	7.5935135204	149.40567021233332	9	2300	#EAD09F	1	32766	32766	27.361722946166992	20.49201202392578	3164.808837890625	20.166358947753903	6.741815423341646	7.5935135204
Puka-puka	2	269.2871896462	1	1875.2775411856	-14.820532896161538	-138.82385792953846	4	1100	#E171A5	1	1560.8555166619049	2048.4658531125	26.426593780517575	74.66504669189453	1872.9359130859375	31.43443298339844	6.963857224881038	14.820532896161538
Pukapuka	2	52.171160806799996	1	193.4734193987	-11.04875837752	-165.7607258592	3	750	#5BA48B	1	10922.0373	8191.7371	27.28642578125	33.19308319091797	2867.576318359375	20.702892303466797	3.7084361629439275	11.04875837752
Puluwat	NA	36.9606060455	1	127.305359788	7.249610995033334	149.210052734	9	2300	#CF4EE9	1	16383	10922.0097	27.382904688517257	17.128940105438232	3300.292724609375	21.140608151753742	3.4443526069697548	7.249610995033334
Raivavae	2	255.1287359842	1	765.9564631095	-23.873739717363637	-147.62983869818183	3	670	#C4EAEB	1	14043.076328542857	16383.36921665	22.712799072265625	201.05323791503903	1531.6812744140625	25.41375732421875	3.002235166315939	23.873739717363637
Rakahanga-Manihiki	2	35.5354181894	1	137.4380023892	-10.39652929615	-161.0094220913	2	550	#AD3CE0	1	32766	32766	27.285639762878414	28.07112693786621	2701.6436767578125	24.044196128845215	3.867634303799946	10.39652929615
Rapa Iti	NA	694.1178215296	1	1102.8206637104	-27.67569397223077	-144.1381741986154	4	850	#85B9EF	1	3641.3967555444447	4681.509428542857	20.581056741567757	233.09999319223255	1409.716299203726	25.86645801250751	1.5888090314122143	27.67569397223077
Rapa Nui	2	1185.9541474549999	1	514.3365686746	-27.1194612948	-109.35894608	3	750	#76C046	1	0.97439995	0.8671	20.963329315185547	174.8053436279297	1050.572509765625	48.58991622924805	0.43369009651708823	27.1194612948
Raro Matai	3	159.1673939375	1	883.5271443388	-16.440532122505264	-154.3634130256842	4	960	#E949A2	1	14042.522485714286	16382.797383333333	26.111993890059622	97.8575832969264	2082.5708778782896	29.176414088199017	5.550930517124211	16.440532122505264
Rarotonga	2	1139.2570103584	1	636.7749048735999	-21.23886277065	-159.74882014783333	4	900	#E42CCC	1	3641.7579666555557	4681.9034857	23.82175636291504	174.879638671875	1452.107421875	32.912071228027344	0.5589387636713126	21.23886277065
Ratak	3	7850.027889031399	1	56577.8896766681	8.268751857736623	170.85240802876535	8	2000	#B1C28F	1	2808.787177142857	3780.9703346153847	27.197023659421685	31.31778780201025	2852.8734323601975	33.23935122238962	7.207348875247008	8.268751857736623
Reao	2	956.1368101202	1	3207.6031091672	-18.41771873707143	-136.71673978957142	4	1100	#F0DF3F	1	2520.836269230769	3276.90812	25.406617709568568	112.52495356968473	1934.405038016183	21.621367863246373	3.3547532897137997	18.41771873707143
Reef Islands	NA	3.1498784104	1	16.8553721016	-10.181004691133333	166.05089715333335	11	3185	#F0D4F3	1	32766	32766	27.280277252197266	50.38097890218099	3248.9784342447915	16.48178990681966	5.351118330773775	10.181004691133333
Rennelle	2	4870.325512976	1	1437.3249275140001	-11.6427101633	160.246281073	11	3100	#AF85C0	1	1.220424925	1.1144999333333334	26.8933048248291	83.3194808959961	2713.89453125	30.22636032104492	0.29511886293524686	11.6427101633
Rimatara	2	13.996562922899999	1	94.238217846	-21.810277456725	-154.70905715825	3	670	#9883ED	1	6553.60422	8191.820375	23.639610290527344	180.515380859375	1509.385009765625	30.12053108215332	6.732954252062508	21.810277456725
Rotuma	3	193.3789819628	1	227.0477369912	-12.486555054085715	177.03193449657144	5	1300	#E8F6C4	1	16383	16383	27.062312262398855	64.06516865321568	2916.028424944197	18.660390036446707	1.1741076237275714	12.486555054085715
Rurutu	2	692.9662027616	1	651.3512515791999	-22.596920319166667	-152.317964386	3	670	#EEC1A8	1	3642.1285444111113	4682.339885671428	23.249017079671223	190.1643218994141	1497.19580078125	27.95839500427246	0.9399466366230319	22.596920319166667
Rālik	3	3528.0126445653004	1	27692.326268174696	8.694397971175468	167.69834744559813	8	2000	#EFC561	1	6553.360786666667	8191.618175	27.183387814281144	35.231577813068284	2706.426060471579	35.86255096275116	7.849270696586965	8.694397971175468
Rēkohou	2	43248.755426624	1	17009.0703910468	-44.13660205145	-176.27489921469999	2	450	#F2A3D3	1	1311.61356398	1725.457047363158	12.660635248819988	239.10127665201824	1083.6268513997395	16.94582029978434	0.39328462110093443	44.13660205145
Saipan	1	740.056017	3	462.85033854359995	15.1886171895	145.753092527	12	3500	#C2E0F2	3	0.05123333333333333	0.1943	26.805871963500977	79.722412109375	1727.646484375	62.28406524658203	0.6254260865547424	15.1886171895
Santo	1	322383.392492111	24	44443.5284509819	-15.23689885905926	166.95815050533332	11	3200	#8A8D89	24	729.3673688644444	964.9515058617648	26.08845406991464	129.36880436650029	2150.4263057002313	45.02448880230939	0.13785923681558587	15.23689885905926
Satawal	NA	3.170760585	1	10.851006601	7.3578819783	147.036384629	7	1900	#8F6793	1	32766	32766	27.3918514251709	17.040218353271484	3259.6650390625	21.003604888916016	3.4222093753571747	7.3578819783
Satawal (Woleai speaking)	2	10.201980516399999	1	78.3525586116	7.512704779118182	146.1582744429091	7	1900	#F4E1F2	1	32765	32765	27.38840467279607	17.947248458862305	3205.2846457741475	20.606420170177113	7.68013215528552	7.512704779118182
Sikaiana	NA	7.1359638536	1	29.6994455132	-8.373108312875	162.86978314325	2	500	#99F3CE	1	32766	32766	27.348987579345703	35.757469177246094	3499.7099609375	16.9277286529541	4.161938894662004	8.373108312875
Sonsorol	NA	4.1131236894	1	18.1417935302	4.83895433915	132.26824050599998	3	600	#DAF630	1	32766	32766	27.50423812866211	12.66972017288208	2801.033935546875	25.27578067779541	4.410709451056267	4.83895433915
Sorol	2	2.9868170774	1	29.9836640188	8.14785202899091	140.38291410163637	8	2000	#D2CAA2	1	32766	32766	27.386457443237305	20.512943267822266	3061.47607421875	18.581886291503903	10.038667665882148	8.14785202899091
South Island (NZ)	2	154518002.01263225	1	8783927.288344206	-44.728070600592986	169.16465512131077	3	750	#7D3642	1	115.25357394388112	149.9755778972665	10.404556702252917	251.20046052478608	1457.160667782738	7.266420900373531	0.05684727458245349	44.728070600592986
Sāmoa	3	314338.7716161468	1	66954.7136205108	-14.093097805342857	-171.06638438589286	10	2800	#E4E8F6	1	1131.0606551551725	1490.5982817909091	26.71945959946205	76.04652681021855	2527.126852101293	25.3300289285594	0.2130017664581072	14.093097805342857
Takuu	NA	3.4643994816	1	29.7616561824	-4.743856257877778	157.02116322877777	2	500	#A96CD4	1	32766	32766	27.487055672539604	25.79984410603841	3169.3337673611113	21.51039759318034	8.590711417799561	4.743856257877778
Tamambo	NA	5630.289991722	1	2088.498726957	-15.6984041364	167.214675542	11	3200	#C4D5C2	1	1928.3095646882352	2521.3707538307694	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	0.3709398148279467	15.6984041364
Tangoa	1	0.934849625	1	6.2770942566	-15.6014178617	166.980500012	11	3200	#E8BDF5	1	32766	32766	25.89780044555664	139.73570251464844	2030.607421875	48.84967041015625	6.714549686640779	15.6014178617
Tanna	1	3954.9805866760003	5	892.297551838	-19.4944553812	169.326338052	11	3200	#C5E2BC	5	1.870299975	1.9066999333333334	24.629594802856445	192.23141479492188	1498.1883544921875	53.517234802246094	0.22561363634604834	19.4944553812
Tatakoto	2	317.7387733296	1	2124.385424847	-17.350364030815	-138.39243481685	4	1100	#F1A9A3	1	2520.8923653846155	3276.84015	25.8233699798584	99.52459716796876	1975.02197265625	25.77446556091309	6.685949601257229	17.350364030815
Taveuni	NA	268.603191794	1	118.4346257194	-16.930720447	179.958958409	11	3130	#DBE856	1	32766	32766	25.74098777770996	134.63511657714844	2051.860107421875	38.699462890625	0.44092784202739904	16.930720447
Te Anu	NA	159.4445749344	1	148.7568103861	-11.6317490135	166.962302531	11	3185	#5FEED6	1	1.16552495	1.1986333	27.068683624267575	69.74304962158203	2933.34033203125	22.227380752563477	0.9329687789459299	11.6317490135
Te Fenua ’Enata (South Marquesas)	NA	19697.7073341243	1	10592.108770666799	-9.897021596770589	-138.91863985694118	4	950	#8E11F1	1	2979.8943817863637	3855.879205870588	26.590394973754883	52.64452788409065	1707.6313332950367	72.0886760038488	0.537733076799097	9.897021596770589
Te Henua ‘Enana (North Marquesas)	1	41273.0590758943	1	23807.6254893905	-8.807346624304651	-140.0758092156744	4	950	#F8C015	1	1725.3971394473683	2260.6292137793102	26.563662107600724	46.97907106266465	1851.2047516578853	81.96934864132903	0.576832103615393	8.807346624304651
Tegua	1	0.1573083754	1	2.130287893	-13.2551965206	166.576217961	11	3185	#EEF4D7	1	32766	32766	26.74402618408203	93.79839324951172	2561.36376953125	32.7253303527832	13.54211361971767	13.2551965206
Tikopia	2	12.3570878942	1	21.2300376124	-12.2779928824	168.814058868	11	3000	#98DEF1	1	32766	32766	27.00346565246582	73.93331146240234	2862.767578125	23.241792678833008	1.7180453674983298	12.2779928824
