Marck_group	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Isolation	Settlement_date_grouping_finer	ratio_coastline_to_area	Area_water	NPP_terra_mean	NPP_aqua_mean	Carrying_capactiy_PC1	Carrying_capactiy_PC2
Aotearoa	1	1.933798077023953	1.1310280802521986	1	1.009712429583025	2	1.3333333333333333	2	2	1.6344619482284743	1.9	1.0766205797073776	1.980857338533274	1.0053432101565367	1.0070487940913773	1.0036031915090073	1.9931860644014012
Banaba	1	1.001341962510031	1.1101198417833904	1.2236901794314714	1.9808314891429353	1.0350536424051997	1.3333333333333333	1.00762336418287	1	1.1926387413221848	1.4	1.3370651198877948	1.112226696028997	2	2	1.8791482106271942	1.644892197459498
East Futuna	1	1.3109600167851103	1.566617071034789	1.2155914045288787	1.9436275766648796	1.2955211854931734	1.3333333333333333	1.2439530975264084	1.2453571221035178	1.1259842108861535	1.3	1.1628816483832505	1.2227954231051452	1.2000100833127385	1.2500096611839169	1.6498402740476257	1.4733298907366361
Hawai'i	1	1.4693285141127406	1	1.1192944562677936	1.7596673848378042	1.4097001163378766	2	1.6811649537010025	1.652952660890351	2	1.8	1.059509350128346	1.6011851847352416	1.0769168335563146	1.142852068647383	1.420946492618019	1.5826635810935872
Hereheretue	1	1.4395311173350076	1.3345163873567725	1.169134522959995	1.821640192354808	1.4909693410072045	1.3333333333333333	1.186753251026362	1.277338622431707	1.3700276853972446	1.8	1.460587447066331	1.3825551469384156	1.1999790123783698	1.2499814997698362	1.5084672983722578	1.5855030119294382
Kapingamarangi	1	1.0055556928443232	1.4044840376391352	1.1935773416666642	1.9961107840519272	1.0115698940252411	1	1.0760753268747818	1.1885540457531565	1.2110612389251971	1.8	1.8124493380093256	1.3126330345696746	2	2	1.9397747778291992	1.6511504395023535
Kosrae	1	1.1039476770720773	1.9305563076215877	1.181596976722789	1.990876808078177	1.020573372448535	1.6666666666666663	1.2647183518199758	1.251348401574456	1.4066986128839418	1.4	1.1199658702392323	1.2655812585364046	1.1111023059915854	1.1428511382158058	1.8162456774824287	1.35503762756469
Mangaia	1	1.4868442796461894	1.1688128957994368	1.2919722735060966	1.736146506883765	1.6411570051695406	1.3333333333333333	1.1448751748905837	1.1128205296893383	1.0756829954729956	1.8	1.0914388244151771	1.1411155655535443	1.0000223256341665	1.000027571992543	1.3609901562724973	1.4984321070368363
Mangareva	1	1.515207893207641	1.3121751092194656	1.0255446313400052	1.7146707311683669	1.6219531893219936	1.3333333333333333	1.3237523812945828	1.421560941230339	1.0589464428510569	1.8	1.343593808951574	1.4534111346093015	1.1428569542858615	1.1818222005017136	1.4263543248121526	1.6946691590646716
Mangarongaro	1	1.1894448064171492	1.580909631289154	1.2969888812770716	1.9813481833789628	1.0605004616590334	1.3333333333333333	1.1848495800073005	1.2928181967166656	1.2705569649640225	2	1.5170044411704715	1.3046458585980352	2	2	1.9028854084040634	1.653921153242
Marutea	1	1.4777660087515727	1.3260838600647575	1.019132377165028	1.7713911661466606	1.541820857614677	1.3333333333333333	1.3245585065459666	1.446238063940419	1.0608650054625164	1.8	1.393340692974296	1.5100808437360491	1.2727095451226835	1.33331640544703	1.499166253777352	1.7151919513087632
Mo-ava-mo-iki	1	1.2456986801073031	1.652221679087298	1.2528849528859798	1.959540371345972	1.2687150773814162	1.3333333333333333	1.260876135082886	1.219057441733137	1.350938467660261	1.1	1.0506854783374429	1.096763967196794	1.0000062246246957	1.0000080929515571	1.641193929596643	1.3484356203008074
Morane	1	1.5154260753517554	1.3030834376442753	1.0434203109829727	1.7122035564708118	1.6387660791727283	1.3333333333333333	1.0315710584079727	1.1364075879441635	1.0954170598956423	1.8	2	1.2461264289175848	1.9999694796514975	1.9999694797514465	1.599492614097582	2
Napuka	1	1.3078944401552912	1.349260820107563	1.2988562113012452	1.9376116418108416	1.2344375506215062	1.3333333333333333	1.197090995345816	1.277195555425135	1.1717242240109698	1.8	1.4154322865772078	1.4089285297464305	1.1999901425390616	1.2499910861795254	1.61878629487695	1.4284125241851144
Nga Pu Toru	1	1.422683270707385	1.2647869675489003	1.3236012613444776	1.8287062327810393	1.4933815757024127	1.3333333333333333	1.3570906725425271	1.4114138551029	1.1485060219277692	1.8	1.236629238204651	1.45384296856806	1.1428727524898203	1.1818355575489323	1.4802273698140531	1.4837081545707846
Nia Matai	1	1.3712725471913596	1.394787179753119	1.2468727213175244	1.896154464953836	1.3554425901631206	1.6666666666666663	1.630492848995401	1.682073471383401	1.3468488697630667	1.8	1.1601301125138916	1.7196516747932016	1.0447775045268657	1.058827890455586	1.541179346833435	1.429968198479644
Niue	1	1.4207868521570033	1.2372073028831887	1.3721008730765225	1.8159192910660316	1.5501891588025112	1.3333333333333333	1.2172155944619525	1.1566000026158367	1.3937578420375898	1.4	1	1.1594426811455398	1.0000179848783637	1.000023578926691	1.4239441340935894	1.410748286622538
Nukuoro	1	1.0701110750813745	1.7655488508714603	1.2644045383855036	1.99463163275849	1	1	1.0877112284092556	1.199794012734022	1.2172401582743295	2	1.7660673240963385	1.273663057977085	2	2	1.9841868862396765	1.629300393109184
Nukutaveke	1	1.479798879347044	1.32176411398469	1.0494839250072658	1.7686910816283756	1.5589310315874214	1.3333333333333333	1.351279339968122	1.477547717915592	1	1.8	1.382044376780562	1.5152060627636383	1.1999789092195918	1.249979312612524	1.4754065103082925	1.675181177131615
Palau	1	1.1516846019011613	1.8087696893231953	1.1352843628002296	1.994784993183373	1.0411312371715924	1.3333333333333333	1.4464229914609248	1.4720520470927945	1.3170822723877118	1.1	1.157573138201081	1.5210856068175136	1.043467372272124	1.058815417129699	1.7651745831122216	1.3620730014443558
Paumotu	1	1.3591234345983585	1.402517565432365	1.2392440990216582	1.907579230582775	1.3174770872051398	1.3333333333333333	1.7680995636106769	1.9520433123711531	1.2243495166353595	1.8	1.2797925402522028	2	1.0079652422268113	1.010703403741366	1.547449388111812	1.4069342013636421
Puka-puka	1	1.3230802692330503	1.324441328602678	1.2896339910640724	1.927418848925949	1.2497237093145956	1.3333333333333333	1.2449681732810176	1.3594848904643628	1.1590641059023958	1.8	1.453680243015831	1.652617384793949	1.0476081153041896	1.0624932228830517	1.5688510477572817	1.3780389258035555
Pukapuka	1	1.235988491063606	1.6891543643882194	1.133054114116506	1.985346119486354	1.0967790297145503	1.3333333333333333	1.130546413583959	1.1929563808532129	1.3960343932957189	1.9	1.4512296643214806	1.2324490996527806	1.3333146457249627	1.2499873882702914	1.759953473376878	1.4820177167872977
Raivavae	1	1.5321224259943749	1.1993106637050437	1.201788575203284	1.6772188206792005	1.715831406660489	1.3333333333333333	1.2657696950007151	1.340426903265782	1.0628543063097875	1.9	1.3339295719360875	1.3880596181267872	1.4285698445653412	1.4999980365301675	1.429470984127582	1.750169974475488
Rakahanga-Manihiki	1	1.220928261405234	1.6283104683092309	1.181805822508252	1.9852931650733552	1.0778897394105114	1.3333333333333333	1.1441684531380747	1.2110795889456325	1.268911271060838	2	1.445546966585873	1.1807802314272713	2	2	1.9064733548002848	1.7166795508493868
Ralik	1	1.181625370143501	1.6300640645569713	1.35424299633141	1.9784044050752656	1.1042968051110265	1.6666666666666663	1.5122950354035725	1.6787529325526114	1.3687128683844438	1.4	1.3528699231083685	1.7931064561442842	1.1999811160442575	1.2499837586497322	1.7347664526782216	1.3433443568831538
Rapa Nui	1	1.6070674319126177	1.0228985280551497	1.5399431997534143	1.5593562523294553	1.6190316546587955	1.3333333333333333	1.1972729846667838	1.1603564745700536	1.9209577728759488	1.9	1.0679368603135122	1.0988394334779616	1	1	1.2514750498792586	1.4565570902787974
Raro Matai	1	1.3604866975754886	1.4013099175025985	1.2566880859698697	1.906224112096768	1.3352555911143422	1.6666666666666663	1.2385202894054173	1.3402304476975968	1.4099565149167943	1.8	1.427714422610151	1.4103598114562583	1.428552941089198	1.4999805840352118	1.639700778113815	1.570732488462257
Rarotonga	1	1.4712820662610957	1.1701326601021296	1.311193655367417	1.751929774633766	1.6193056477551635	1.3333333333333333	1.2744537006985746	1.2638431005065458	1.0660415835430463	1.8	1.1244649439452252	1.3505146012816156	1.1111179832772662	1.142866393980047	1.3998156801527242	1.525742583302887
Ratak	1	1.1717970315969928	1.6837631353981863	1.3159688747672251	1.9793230581262145	1.089863117657356	1.6666666666666663	1.5503283414193394	1.718894233803205	1.5130292553089	1.4	1.337761728409975	1.7415309028695352	1.0856954244891104	1.115369690278759	1.7252663084702196	1.3105708487193242
Reao	1	1.40614072519149	1.3469807217758594	1.146455245828989	1.858702599964905	1.3893474656620577	1.3333333333333333	1.304067188786533	1.3910100927339677	1.1256208046563465	1.8	1.3339681756938522	1.3960175085151367	1.0769070624280823	1.0999855862022156	1.5208319992490353	1.5144609839836485
Rekohou	1	2	1.0350188372838465	1.0782360884885689	1	1.8561489755139715	1.3333333333333333	1.505610985044765	1.5164328829580946	1.947064698677626	2	1.1240108248927094	1.5150488586181132	1.0400011640469464	1.0526349138465774	1	1.9715767936871096
Rimatara	1	1.484476259295819	1.1911351076714298	1.2704633422118663	1.7396585114012637	1.6400897319993386	1.3333333333333333	1.062739125071864	1.1443193236060858	1.232808025169459	1.9	1.7094759471388414	1.231470706437848	1.199988545714428	1.2499899298439898	1.4160587164991874	1.5905272022760546
Rotuma	1	1.2691877898523698	1.7069206996276345	1.1032527311488958	1.9702474904150051	1.2106323614842207	1.6666666666666663	1.203100755664796	1.2185786706484032	1.370491911121549	1.7	1.2200123449637337	1.494571103075772	1.499985130486973	1.4999867679462395	1.7740892497966874	1.5999228941725536
Rurutu	1	1.5026401567758365	1.1866655894526383	1.238916427270606	1.7133440702254914	1.6756741141039804	1.3333333333333333	1.2220052887532016	1.2292401270382831	1.0935719505784725	1.9	1.1870935120206323	1.266133732094438	1.111129293439513	1.1428797130156438	1.377557499196974	1.585189684281894
Samoa	1	1.3062835028173665	1.5643189387286136	1.2005669256489124	1.947149351532784	1.254818477351463	1.6666666666666663	1.5594282337754717	1.5478163942984122	1.285534419610098	1.2	1.0862925805147128	1.5137450534363792	1.0344906263465103	1.0454669659463187	1.6207756646565863	1.4044610598815082
Sorol	1	1.1690054063251731	1.76025319389747	1.102107312509608	1.9920852977718904	1.0500158727741766	1.3333333333333333	1.03925328368938	1.1374261151938394	1.1916755069527858	1.4	1.911859447710985	1.2224310383252146	2	2	1.9549778592185518	1.7362823401428522
Tatakoto	1	1.3814950792638334	1.3618740696213143	1.2070515335240022	1.8867793887994424	1.3414033806297674	1.3333333333333333	1.2712402009689514	1.3881528168134587	1.1339248705945777	1.8	1.431086099550406	1.511240321251607	1.0769087745022476	1.0999835117409211	1.5432059569250671	1.4659549619791021
Tokelau	1	1.1925942989229688	1.895758736617568	1.0365359995147854	1.9939521467204329	1.0506264561247307	1.3333333333333333	1.2422705135356866	1.365630190602141	1.3754224961758394	1.9	1.4797604852310582	1.3662239344130325	1.9999847398257489	1.9999847398757231	1.9763420088448616	1.7716115104257477
Tonga	1	1.4348757587888232	1.2145799237373749	1.3982173126894095	1.8030503270872127	1.6062681464154052	1.6666666666666663	1.629243171096709	1.719872704948267	1.364988909200739	1.2	1.2089244669703114	1.881862142215238	1.0092674254313467	1.0122088263979454	1.4027531303850433	1.416408856628697
Tungaru	1	1	1.199584577316973	1.300664451615534	1.973247548619134	1.040590340153832	1.3333333333333333	1.563199948773454	1.694714007751729	1.4339027643195543	1.4	1.2814631502010363	1.6840228581488907	1.0545304946928755	1.0749869251255195	1.6874723236886497	1.2631354642712844
Tupuai	1	1.5199882472576942	1.1963084405042803	1.214037104313822	1.6936265932755314	1.698332707289028	1.3333333333333333	1.2305531059193136	1.2264301142951215	1.0551319438464382	1.9	1.1529311883274584	1.2554719104982743	1.2000170401209758	1.2500198045885234	1.3876662524334455	1.6458231155209893
Tureia	1	1.4817919633857128	1.3068517373598962	1.0751470734675144	1.7594030159615135	1.5815657857648628	1.3333333333333333	1.187570247316292	1.3029801213904793	1.043790463349621	1.8	1.5354786535265956	1.3785559495186916	1.1999840506775006	1.249988836074582	1.4640880526130384	1.66901448571195
Uvea (Wallis)	1	1.287819648702186	1.6412318940896955	1.1532299611525914	1.962035435255681	1.2320774059398951	1.3333333333333333	1.2969646337081575	1.3173706110445138	1.114460543397431	1.3	1.1894554907512462	1.3324044765835823	1.2000090541665869	1.2500106347798454	1.689638627595175	1.4839694815165303
Woleai	1	1.153982743158529	1.8021229863141217	1.1404705848896346	1.993218268491117	1.0380753961700204	1.3333333333333333	1.1587750293730084	1.2584732616238945	1.252991551253443	1.5	1.5347436415632685	1.266412937924667	2	2	1.9669468972816166	1.7125231321377898
