SBZR_group	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2
Pukapuka	1	-0.4580758495932511	0.7732458449465344	-0.5054062025703432	0.640148377608519	-0.8545116523506057	2	-0.8100478700332504	-0.8256901349019287	3	0.11606347503083958	-0.07253482201924605	-0.33413138449005336	0.509511527437485	0.32341800413323135
Raivavae	1	1.0119297130226892	-0.9200758482200638	-0.13635827106296125	-0.8832346762716856	1.4165292996864318	2	-0.4136273302395661	-0.3756498891451715	3	-0.1459610855862068	0.1649674697730224	0.3035358538017947	-0.7814531181794212	-0.9774551537710656
Rakahanga-Manihiki	1	-0.5328346622813541	0.5629169400659902	-0.243649336291721	0.6398865707004565	-0.9238084573269876	2	-0.9059537381639516	-0.937536547592676	2	0.2094464846420162	1.5897293008030131	1.5788210202755564	1.132233323350346	-0.7064174386018006
Rapa Nui	1	1.383955889677712	-1.5299081188345305	1.679255945542675	-1.4659478600950169	1.0614120121518549	2	-0.02987029832303702	-0.5059037560821539	3	-0.7691057903462	-0.9035969919724264	-0.9717392967754914	-1.5292545478775013	0.5288157015099437
Raro Matai + Nia Matai	1	0.20815948897061864	-0.2421030527554925	0.11093660047049246	0.20412478453201047	0.0870661635141145	3	1.2364957674618362	1.2456973251033585	4	-0.6258825277667389	-0.701436634157807	-0.70325452394845	-0.32981097199405673	0.5303860467371048
Rarotonga	1	0.7099188433113753	-1.0209401573766377	0.4510576756482214	-0.5138633104945767	1.0624171767640909	2	-0.03990328505800952	-0.43606226251336416	4	-0.6994374370584335	-0.6265436026670369	-0.6073499416498027	-0.9252591753465463	0.14718513405950662
Ratak + Rālik	1	-0.7617525683030968	0.6976543831451043	0.5397480804649044	0.6089768145278278	-0.863636848481424	3	0.5348598553583331	1.1617834247005647	8	-0.1144104177869961	-0.6044448810304333	-0.5690583742535548	0.3641772073963156	1.1775283883269831
Rimatara	1	0.7754146709334473	-0.9483376108315048	0.2323691519871932	-0.5745325031641877	1.1386651781076529	2	-1.1386548830984524	-1.0609545820194908	3	0.8866351555982643	-0.4049602926887203	-0.33412490205303563	-0.8530577512990968	-0.18039297751296424
Rotuma	1	-0.2932748992873006	0.8346616002721886	-0.6654152950453772	0.5655006727373207	-0.4368320042238992	3	-0.4828384952658155	-0.7733527187330866	5	-0.476612178487748	0.3430290798675017	0.3035071125987982	0.579560365492281	-0.25151139335847456
Rurutu	1	0.865580056202965	-0.9637881150379028	0.06298797811266599	-0.7046312445437621	1.269209203172648	2	-0.16406901367576626	-0.42865979659898606	3	-0.5553047219573318	-0.6265154027421316	-0.6073159706461482	-1.009738771362087	-0.18554819309385434
Rēkohou	1	3.3344687917416236	-1.4880098918772058	-0.7997342390085395	-4.231408236956794	1.9312950239191085	2	0.8683533613255598	0.6383830357483784	2	-0.7088348279782604	-0.8038610379125513	-0.8374907742270103	-2.4952687198268175	-2.312068966260263
Sorol	1	-0.7905791379775796	1.0190246315244926	-0.6715652578566871	0.6734669119837856	-1.0260658671685194	2	-1.5244271481111258	-1.4355036604770788	8	3.614714562111431	1.5897293008030131	1.5788210202755564	1.3257317427827569	-0.8428899986942817
Sāmoa	1	-0.10913219230406336	0.34170710299623513	-0.14291753164257817	0.45130334752281626	-0.2747318615170338	3	1.363742880003678	1.0865539344228885	10	-0.7772667911233585	-0.8176006064483787	-0.8557730576960992	-0.05814612702445098	0.6948493534495959
Tatakoto + Reao	1	0.304997475005866	-0.3752781265848817	-0.21655134415324084	0.10656332164646762	0.10154031945917467	2	-0.0120087642304507	0.2589772008773201	4	-0.1422965061697204	-0.7118397452806787	-0.7167235556901377	-0.3863862109857605	0.320289116295283
Tokelau	1	-0.6734841372211945	1.4874484873630776	-1.0236296669514358	0.6826966234159519	-1.0238258954869928	2	-0.7756710253400162	-0.5156078615827572	3	0.4841476302628237	1.5896912522093207	1.5787820984081429	1.4110250318110953	-1.0629908736827494
Tonga	1	0.5291983375339531	-0.867292135343309	0.9183036570539966	-0.2611230190174671	1.0145881067895888	3	1.1433432711371578	1.370157342130666	10	-0.5026861590307752	-0.8804902764781138	-0.9405999486471266	-0.9268347035855223	0.7078043945209876
Tuamotu + Puka-puka	1	0.13502776173061265	-0.24497738563516827	0.09217318530762213	0.26561153688028627	-0.0700602984377427	2	1.4489088659493208	2.2111501245039835	4	-0.3016755295378327	-0.8738054892049459	-0.9308916140348712	-0.340135938255288	0.7207072334777914
Tungaru	1	-1.6295200971359844	-0.919128966877124	0.3945244490306984	0.5803329769392425	-1.0606441538737048	2	0.7995586883530146	1.250721937613844	8	-0.3066612455599117	-0.7676346757966285	-0.7804806212526629	0.20974817653861136	1.5305691977060654
Tupuai	1	0.9516957845981516	-0.9304541171791014	-0.0705936711696833	-0.8021145586386993	1.3523339838134376	2	-0.28873606021200615	-0.6731748579595948	3	-0.6378299390884578	-0.4048892468356774	-0.33404870471514597	-0.9624348538038678	-0.48696455167701164
Tureia	1	0.7620898558612207	-0.5483212810546291	-0.8163197273631522	-0.4769155644158597	0.92396560901947	2	-0.76121510309826	-0.4877122953748042	4	0.4829180999547936	-0.40497150028247847	-0.33412769177788254	-0.6544761572461884	-0.650079772515544
Tuvalu 31	1	-0.764176395477855	1.84384749014703	-1.16515694600616	0.6947153324598191	-0.9891257201309016	2	-0.435951014927938	-0.22057166028479755	4	0.06399730560381833	1.589653203615628	1.578743176540729	1.5015160533526577	-1.1252558609144574
Tuvalu 32	1	-0.764176395477855	1.84384749014703	-1.16515694600616	0.6947153324598191	-0.9891257201309016	2	-0.435951014927938	-0.22057166028479755	4	0.06399730560381833	1.589653203615628	1.578743176540729	1.5015160533526577	-1.1252558609144574
Uvea (Wallis)	1	-0.20078655897767697	0.6075845157644979	-0.39707837839963794	0.5249002270264932	-0.35815921983469545	2	-0.14115724536244983	-0.3965095688047336	9	-0.5530985224214258	-0.4049091584257287	-0.3340720928652749	0.2269355532199445	0.3053555049862848
Ānewetak	1	-0.40228938784000656	-0.36388067888660713	1.931508556076558	0.5449604801916366	-0.527659673131447	3	-1.0446545370541551	-0.8820310660499999	8	0.8204599318101813	1.5897293008030131	1.5788210202755564	0.7112163078870033	0.28700149452383344
