SBZR_group	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean
Banaba	1	0.0013419625100310514	0.10938357227387197	0.23322127502267356	0.9804937140228411	0.03530390678836692	0.3333333333333333	0.09247143981611422	0	0.6	0.1358649038674297	1	1
Bellona + Rennelle	1	0.24569868010730345	0.6478608760931976	0.2630597197706764	0.9592497713538944	0.27063356026862134	0.3333333333333333	0.4088147994194182	0.31825223754931686	0.9	0.020430407169047267	6.224624695537814e-6	8.092951557456772e-6
East Futuna	1	0.3109600167851105	0.56282862686143	0.22494394251197355	0.9433722349496738	0.2976310497505127	0.3333333333333333	0.3113737263196484	0.2525231086167534	0.7	0.06292338347215862	0.20001008331273817	0.2500096611839166
Hawaii	1	0.4693285141127406	0	0.1265238888483627	0.7598196471611554	0.4126251574994655	1	0.7007596191601934	0.6311724448487377	0.2	0.007153200890041307	0.07691683355631469	0.14285206864738303
Hereheretue	1	0.4395311173350077	0.3322797857375157	0.17746280360135167	0.8216551403691568	0.49447460125550724	0.3333333333333333	0.18949121703454955	0.23028738305524277	0.2	0.23980552007635175	0.19997901237836974	0.24998149976983608
Kapingamarangi	1	0.0055556928443232815	0.4017796270699085	0.20244452495640372	0.9957391543122582	0.011652496921626678	0	0.018889101410434404	0.0572293452143005	0.2	0.8272328583021437	1	1
Kosrae	1	0.10394767707207728	0.9243345384554145	0.19020002311103903	0.9905167753569903	0.020720255397416298	0.6666666666666666	0.3531461689548325	0.2827964708790047	0.6	0.04387988870041545	0.11110230599158553	0.1428511382158057
Mangaia	1	0.4868442796461893	0.16768420013498875	0.3030088174572255	0.7363508848564274	0.6457345255469455	0.3333333333333333	0.26391556165775276	0.16390854257702933	0.2	0.03685734997751898	2.2325634166416876e-5	2.7571992543329495e-5
Mangareva	1	0.515207893207641	0.3100878830590705	0.030707116178363397	0.7149226934190505	0.6263936046570184	0.3333333333333333	0.3080280093017217	0.36817739214339384	0.2	0.16749051677103385	0.14285695428586162	0.18182220050171355
Mangarongaro	1	0.18944480641714928	0.5770256259875022	0.30813602880654056	0.9810092634097836	0.06093240281206419	0.3333333333333333	0.1266452773929516	0.1704076067403104	0	0.3380642487418548	1	1
Marutea	1	0.47776600875157266	0.32390363895452395	0.024153487933625057	0.7715174518684373	0.5456891706747182	0.3333333333333333	0.28134395147091823	0.3663085529686387	0.2	0.20678770003762584	0.2727095451226838	0.33331640544703006
Morane	1	0.5154260753517554	0.3010569990809469	0.048976909577884344	0.7124609852866286	0.6433265296087884	0.3333333333333333	0.015281398252501641	0.05228102910897361	0.2	0.8628410958519893	0.9999694796514977	0.9999694797514463
Napuka	1	0.30789444015529127	0.3469256361066599	0.310044528759089	0.937369629715038	0.23611131017891002	0.3333333333333333	0.22203583077524225	0.2568213785093091	0.2	0.20103332557925346	0.19999014253906156	0.24999108617952528
Nga Pu Toru	1	0.4226832707073854	0.2630165820528193	0.3353351448911878	0.8287055244374244	0.49690405802484605	0.3333333333333333	0.361426766661539	0.36944825040973506	0.2	0.10190844060119196	0.14287275248982037	0.18183555754893224
Ngatik	1	0.11574607119280542	0.9394365761755789	0.1951086549342495	0.992206083208906	0.023641037210383974	0.6666666666666666	0.022623814817751865	0.01224168069047751	0.5	0.5996224478632182	1	1
Niue	1	0.42078685215700334	0.23562131709062367	0.3849040510250605	0.8159469149883927	0.5541172170870492	0.3333333333333333	0.35427750036820466	0.227512477268102	0.6	0	1.798487836368731e-5	2.357892669089911e-5
Nukuoro	1	0.07011107508137458	0.7604303339192461	0.2748332831443754	0.994263280402014	0	0	0.024939240533609557	0.062001546883564754	0	0.761008149762161	1	1
Nukutaveke_59	1	0.47979887934704396	0.3196127750202725	0.05517421103388	0.7688233499779329	0.5629215021991849	0.3333333333333333	0.3215252637507843	0.4210640225770513	0.2	0.19335034190994382	0.1999789092195918	0.24997931261252415
Nukutaveke_61	1	0.47979887934704396	0.3196127750202725	0.05517421103388	0.7688233499779329	0.5629215021991849	0.3333333333333333	0.3215252637507843	0.4210640225770513	0.2	0.19335034190994382	0.1999789092195918	0.24997931261252415
Palau	1	0.15168460190116126	0.8033621946080955	0.14286633258533024	0.9944163010233344	0.04142489235243389	0.3333333333333333	0.47301364402272256	0.4575449620715037	0.9	0.058662405861190335	0.04346737227212391	0.05881541712969916
Pukapuka	1	0.23598849106360606	0.6845466266941478	0.14058691252998085	0.9849983412153482	0.09746998056910217	0.3333333333333333	0.15743315047514161	0.1596636982747942	0.1	0.22377212157794887	0.3333146457249627	0.24998738827029143
Raivavae	1	0.5321224259943749	0.1979780576802681	0.21083679553103774	0.677553765828605	0.7209420625908698	0.3333333333333333	0.244795335252809	0.26282873972360293	0.1	0.16563806827572125	0.4285698445653413	0.4999980365301677
Rakahanga-Manihiki	1	0.22092826140523422	0.6241095374612078	0.19041347342056447	0.9849455041344332	0.07844583076795994	0.3333333333333333	0.1362976508432166	0.134024569530344	0	0.24449053379653773	1	1
Rapa Nui	1	0.6070674319126174	0.022745426781602456	0.556446878672908	0.5599523477765244	0.6234512117885039	0.3333333333333333	0.3293667672716177	0.2329699755172471	0.1	0.0273841298044217	0	0
Raro Matai + Nia Matai	1	0.37020219570276175	0.39279056982770494	0.2579104526601498	0.8970013741422519	0.35596266900614965	0.6666666666666666	0.608445410100882	0.6344985051233535	0.2	0.05916034483291359	0.08108058636384294	0.10526501609554674
Rarotonga	1	0.47128206626109576	0.16899514039471067	0.3226539824228987	0.7520991813248016	0.6237271610500105	0.3333333333333333	0.3271557223003639	0.2489801004934148	0.2	0.04284109213639464	0.11111798327726623	0.14286639398004697
Ratak + Ralik	1	0.17481254456012604	0.6628257513596993	0.33953658771549494	0.9787073903274057	0.09496482757948517	0.6666666666666666	0.4538206113158973	0.6152624899118061	0.6	0.17263805407568167	0.11998113195565459	0.15787939608011914
Rekohou	1	1	0.03478469871505339	0.0845602873724828	0.001835471559788089	0.8622614243368203	0.3333333333333333	0.5273150909551816	0.49528072532589046	0	0.040756140926673796	0.04000116404694645	0.05263491384657737
Rimatara	1	0.4844762592958189	0.18985716402659789	0.2810256683496798	0.7398551077598138	0.6446596326133387	0.3333333333333333	0.08501554413824385	0.10573281838759264	0.1	0.3947349314985224	0.19998854571442792	0.24998992984398974
Rotuma	1	0.26918778985236974	0.7021941748855535	0.11012848405548988	0.9699331664588978	0.21213616463861337	0.6666666666666666	0.2295427487171878	0.17166127351232188	0.3	0.09227819615567406	0.49998513048697263	0.4999867679462396
Rurutu	1	0.5026401567758362	0.18541752934135888	0.2487832233137043	0.7135989719836452	0.6804980683006256	0.3333333333333333	0.29979238403286723	0.2506770058481705	0.1	0.07481908275891629	0.11112929343951296	0.1428797130156438
Samoa	1	0.30628350281736655	0.560545860039971	0.20958821167796088	0.9468862065551177	0.2566377458975615	0.6666666666666666	0.636487816188343	0.5980172467233468	0.8	0.02557349017177956	0.0344906263465104	0.04546696594631878
Sorol	1	0.16900540632517314	0.7551700841043985	0.10895781181735886	0.9917225873774813	0.05037295953291349	0.3333333333333333	0	0.019873005697473956	0.6	1	1	1
Tatakoto + Reao	1	0.3897102945730522	0.35452329588739023	0.19557169438529495	0.8773118138215199	0.35993627949277696	0.3333333333333333	0.33330304827920937	0.4083075733701694	0.2	0.1664511098265842	0.07690820381085926	0.09998420322801946
Tokelau	1	0.1925942989229688	0.8897696266172694	0.04194081636443187	0.993585299913883	0.050987902124194635	0.3333333333333333	0.16500903506408476	0.2307454534758685	0.1	0.3054370763805466	0.9999847398257489	0.9999847398757232
Tonga	1	0.4348757587888233	0.21314522629644156	0.4115962924160741	0.803106465013814	0.610596578877364	0.6666666666666666	0.587916691784084	0.6630291152996741	0.8	0.08649329503373339	0.009267425431346713	0.01220882639794534
Tuamotu + Puka-puka	1	0.35546974386269714	0.3919646428690079	0.2543387547657655	0.9094104451368881	0.3128265193537327	0.3333333333333333	0.6552564869661689	0.8558142185648284	0.2	0.13109049852388846	0.011948497416404413	0.016015180063590144
Tungaru	1	0	0.19825013988527368	0.31189263622233404	0.9729265773779386	0.04088013361733924	0.3333333333333333	0.5121542899152693	0.6356503229058648	0.6	0.12998434313030766	0.05453049469287545	0.07498692512551963
Tupuai	1	0.5199882472576942	0.19499590756867483	0.22335537388817367	0.6939251834162379	0.7033184318027588	0.3333333333333333	0.2723185665539513	0.19462556005423293	0.1	0.05650963359819242	0.20001704012097582	0.2500198045885234
Tureia	1	0.48179196338571273	0.3048001036624449	0.081403167342930155	0.7595558640519299	0.585717856495863	0.3333333333333333	0.16819479569766135	0.2371400976687279	0.2	0.30516428676000346	0.1999840506775005	0.24998883607458217
Tuvalu_31	1	0.17432426240861099	0.9921793184569051	0.015000481664700811	0.9960108795402788	0.060514190303356315	0.3333333333333333	0.2398756964579097	0.29837812016020365	0.2	0.2122204660324329	0.9999694796514977	0.9999694797514463
Tuvalu_32	1	0.17432426240861099	0.9921793184569051	0.015000481664700811	0.9960108795402788	0.060514190303356315	0.3333333333333333	0.2398756964579097	0.29837812016020365	0.2	0.2122204660324329	0.9999694796514977	0.9999694797514463
Uvea (Wallis)	1	0.28781964870218596	0.6369445696211623	0.16120758622585518	0.9617393069038214	0.2337343153181906	0.3333333333333333	0.3048416232524415	0.2580469680110109	0.7	0.0753085610013897	0.2000090541665867	0.2500106347798455
