Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Maewo	3	-0.02427952321906011	-0.01037494263261536	0.6074495725837528	0.2361178229276353	0.22025087105538432	1	0.03439522386960428	-0.19367098765618904	11	-0.220746591505272	-0.23403515897166768	-0.15385010523507822	-0.12321087664137234	-0.38319781521752705	-0.4477384745871462
Vanua Lava	3	-0.19129770605564897	0.380700757583749	0.08091887321976426	0.4150927758865633	-0.13852898398728206	1	0.05604347959279514	-0.2716330323208383	11	-0.2415594054361979	-0.23402234139685923	-0.15383827013316603	0.16023170440335416	-0.4384110346875632	0.06753390025780268
Ambae	2	0.01122896082915996	-0.04999306512771936	0.7060062568611607	0.2190190368723131	0.2540292623877836	1	-0.2891370175717336	-0.804170603643176	11	-0.28027423339206864	1.985943052603544	1.963979944140018	0.5568592912532325	1.557976933949601	-1.812775413156643
Duff + Reef Islands	2	-0.7096814669034283	1.6770366105769503	-1.3245594179021931	0.6717626100849028	-0.9290411147253596	1	-0.6902043697165586	-0.6361434493471005	11	-0.10626974622404373	-0.23405099419012895	-0.1538631867587311	0.9057050888868118	-0.5317507919427977	1.536692604147441
Tungaru + Tuvalu	2	-1.934376914217365	-0.4942113304089464	-0.3372735820742877	0.6104894766461174	-1.303336791473688	2	0.7234685634338424	1.36312972643857	8	-0.09861354326533564	-0.2341020393973427	-0.1256790025418634	0.6911970736369512	-0.9300147705723296	-0.01330216627978782
Ureparapara	2	-0.23420294849086223	0.36293502836805447	0.1269886911269066	0.41319137199222017	-0.12724995083047072	1	-0.6045405411856867	-0.7739168518820356	11	-0.1806307191069836	-0.7890263304636351	-0.8597904357464143	-0.049723271732295196	-1.0230515384346357	0.3920813578725285
Aneityum	1	0.6471179215167373	-1.2108200078883575	1.3121285976047834	-0.4580201050137105	1.3374004814788347	2	-0.14697961987074734	-0.5004384681782016	11	-0.2437957903388042	-0.23399558320443595	-0.15379939506818033	-0.9703323645601184	0.12059852988034815	-1.271764735918179
Anuta	1	-0.4913911385849476	1.1619147919820578	-1.0285270722535014	0.5930136709135827	-0.6434039552465826	1	-2.115776861282982	-2.0420133430751295	11	7.719238765145472	1.985943052603544	1.963979944140018	1.3595157137439988	1.5101969468414644	-0.12444311255978313
Aore	1	0.03892103944805104	-0.21500812732161595	0.9684057599970431	0.1451076063052995	0.4075193339446157	1	-0.4065698106711173	-0.5776992352714511	11	-0.1919769034620996	-0.23401902986706763	-0.15383679855577553	-0.27400571837894855	-0.38435820300445594	-0.78738737125472
Aotearoa	1	3.455981144297976	-1.2453118467769917	-1.6045529434431036	-4.634273457014948	2.3589849212061713	2	3.1597664606717686	3.0250318194724826	3	-0.24566850366215476	-0.7745934205340604	-0.8404252651919885	-2.5339600792829695	2.598418599700962	2.540775076292008
Avaiki Nui (south)	1	0.6502206958701665	-0.9067009364064748	-0.03808698251667958	-0.39354492916130335	0.6770324859564498	2	0.11023041819357528	0.21016563402224844	4	-0.15748753733131846	-0.480683661047929	-0.4563767218040765	-0.7076974289766048	0.08198587238471183	0.10994024986241778
Chuuk	1	-1.048629740237584	1.5386638573093314	-0.9201645526656076	0.6832291601555464	-1.2995551523870248	2	0.3479519446260532	0.7999717846000854	9	-0.10556593247196572	-0.6758165716137937	-0.7029599004801137	0.8308774863327946	-1.2206720063941077	1.47734362248862
East Futuna	1	-0.13382683297738893	0.4725039832838237	-0.5249767025548542	0.43167181156640416	-0.33130220857023185	2	-0.28761773118332706	-0.40775802311871434	9	-0.1850889666593455	-0.23402720452228443	-0.15384469724203265	0.27197733671697166	-0.3060540359440159	0.5966085497185134
Hawaii	1	0.7706656703519502	-1.777153727186522	-0.9973252813858888	-0.5540126607911199	0.10916026911651554	4	1.6617165054202858	1.33119017756166	4	-0.25660484112372506	-0.5756107015290941	-0.4564365817498941	-0.7446482854102859	0.37520358375319524	0.7461836723672969
Hiu	1	-0.28684435171725403	0.5132229180657062	-0.06940052876093601	0.45941002806821984	-0.2357694211900763	1	-0.5353151107835992	-0.7090166163124121	11	-0.18594714104423013	-0.7891222780612315	-0.8598845937114861	0.0452426641366736	-1.031039159655139	0.588076588810212
Kadavu	1	0.4879328861814485	-0.7912824581853423	0.6450078284653145	-0.25243557558232416	0.912994047921726	3	0.32562780401347524	0.32371363265163444	11	-0.18631054905892472	-0.4806740482924879	-0.45636161471596154	-0.7398842217798277	-0.162868523120646	-0.4720063997115454
Kapingamarangi	1	-1.8780873781622984	-0.1712179364147171	-0.6329584350503813	0.712884187282781	-1.4266872192463858	1	-1.7518471845322583	-1.3046452112814595	4	0.7950093210483211	1.985943052603544	1.963979944140018	1.534757366579704	1.0106423550725023	-0.9545440943614932
Kosrae	1	-1.3161396826077272	1.91746346576986	-0.6917236239510087	0.6848398109708262	-1.391954940841037	3	-0.07849753943393077	-0.26872751706169573	8	-0.2095090441703656	-0.4807460908020518	-0.4564392091049674	1.0395283464933809	-1.2055867365219675	1.2621251972411285
Lau	1	0.3587356241704782	-0.5552297889873092	0.4090186967382331	-0.07904516522219464	0.6017684952758224	3	0.9780861999709852	1.4351583038578188	11	-0.13928993816718743	-0.734631697506535	-0.7864537155533821	-0.6333957046670358	-0.5232402333944305	-0.05657151954652395
Lifou	1	0.7235626967104997	-1.3250289018255392	1.579499948622371	-0.5836892973671773	1.4886418058943172	2	0.40006758338597065	-0.00990657908488943	11	-0.26075436528410956	-0.23398682077355393	-0.1537981841969915	-1.0945663750641703	0.14464889403505063	-1.4960736398621979
Loh-Toga	1	-0.26509448710987493	0.5132229180657062	-0.06940052876093601	0.45941002806821984	-0.2357694211900763	1	-0.11652457461655866	-0.06997946333388028	11	-0.1559919754352114	-0.3926014976777554	-0.3463701767232406	0.1907405583090796	-0.6174119988409902	0.32196831993410463
Luangiua	1	-1.3149638716679888	1.5660632187104262	-0.944146782476277	0.729639267348073	-1.1992760654180885	1	-1.1284929384897948	-0.7971177799630733	2	0.08887897319079244	1.985943052603544	1.963979944140018	1.7627783955216492	1.1017579270295164	-0.13290968996164587
Mangareva	1	1.032697293742887	-0.537714999740603	-1.457179901599169	-0.7951110331591232	0.9279585686939278	2	-0.3043669787779304	0.12338461730152986	4	-0.05099921418110467	-0.3926270117132806	-0.3463926235179899	-0.6749539348618916	0.7829253408578734	1.3716901221214268
Mo-ava-mo-iki	1	-0.5065549372304182	0.8123826710286447	-0.3420471821064703	0.516934794134447	-0.434710820900841	2	0.20018941164647203	-0.10589680337649252	11	-0.23957905828557585	-0.7890374719472235	-0.8597997665065759	0.2370927506456739	-1.0945048949140388	0.8755546195509408
Mota	1	-0.19225048653921012	0.3851421898876726	0.06940141874297856	0.4155681268601494	-0.14134874227648475	1	-0.906371077690596	-1.0774870628790858	11	-0.1579618405911797	-0.7890203912996709	-0.8597768934998181	-0.04487042711040418	-1.0018332356717017	0.4509719465827723
