Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Aneityum	1	0.6424651259365012	-1.1944431681396306	1.2847291062443753	-0.45601957633414936	1.3149602652314951	0.18027625969617633	-0.13113633910080064	-0.4815077643403255	0.8794917323928652	-0.2437141560242952	-0.2593220565217546	-0.18075153195924265	-0.9832028935570634	0.24141415610411024	-1.1500056126757263
Anuta	1	-0.5029640965818274	1.1768830005488136	-1.042597874546764	0.602359991490645	-0.659684427444083	-1.1217189492206532	-2.099332950567484	-2.0193362494260763	0.8794917323928652	7.781249981885342	1.9125104376222424	1.892373655702172	1.339511022263925	1.4677734398643634	0.23084579593912943
Aore	1	0.03057146063375294	-0.19922247528860867	0.9429635726889768	0.1513234616056029	0.38797078623324255	-1.1217189492206532	-0.39064733553880227	-0.5585807695834337	0.8794917323928652	-0.19149226674898728	-0.25934499509445263	-0.1807881467806286	-0.26934431545596993	-0.29311172898605514	-0.8028243576048832
Aotearoa	1	3.468401370258787	-1.228914530117073	-1.6153436093922682	-4.661461227263242	2.333367865005657	0.18027625969617633	3.174600937347255	3.0353948006649447	-1.3733934934410754	-0.24560143368907977	-0.7882051213228328	-0.8528996446071873	-2.5921486774215117	2.00871765692376	3.0460606726991304
Avaiki Nui (south)	1	0.6455867597818926	-0.8905046442718956	-0.05779777200059859	-0.3910937763103651	0.656645828230944	0.18027625969617633	0.1259952307251944	0.2273694026255044	-1.0917828402118328	-0.15673467221511278	-0.500664395781246	-0.4769489051501501	-0.7103678880665312	0.005940440322745705	0.15520568907173024
Chuuk	1	-1.0635897434178505	1.5534083997161658	-0.9348524172413404	0.693206006815672	-1.3137951791183071	0.18027625969617633	0.36364423436838966	0.8157421854253143	0.31627042593438	-0.10440926610569733	-0.6915687698967911	-0.7183327873623714	0.8729302347696829	-1.3969965249353187	1.1644936818949363
East Futuna	1	-0.143226419539721	0.4878814771876399	-0.5419149348566349	0.43989049595301705	-0.3485532293193157	0.18027625969617633	-0.271731545303924	-0.3890525545780142	0.31627042593438	-0.18455076154250533	-0.2593529926046279	-0.18079587892019852	0.28655368789204344	-0.4081692513257734	0.526430679745256
Futuna + Aniwa	1	0.5344741343897069	-1.050082141787087	1.2946051842931108	-0.33486372874772147	1.170187071059421	0.18027625969617633	-1.0111390950374004	-1.1338113328547934	-1.0917828402118328	-0.12657506235029667	1.9125104376222424	1.892373655702172	-0.1989586124611213	2.2092404893798694	-1.9560303376682906
Hawaii	1	0.7667638310162554	-1.760440669780243	-1.0115737599491677	-0.5526830347548425	0.0905395340857967	2.7842666775298355	1.6770079990217004	1.3456695926506073	-1.0917828402118328	-0.25662282450657103	-0.5935343642409282	-0.47700750292712746	-0.75001177117757	0.1857011612744635	0.8294653122172602
Hiu	1	-0.2971740196635473	0.5285762381928182	-0.08893300559218507	0.46782257793346627	-0.2533175220081054	-1.1217189492206532	-0.5193533587359319	-0.6895790184781894	0.8794917323928652	-0.1854156100641068	-0.8024191380399274	-0.871948666071261	0.07340053484693815	-1.1061444039043262	0.36097565732527076
