diff_poisson_abs	diff_poisson	island_group_dropped	control	group	filename
0.90116	0.00279636363636364	Pohnpei	none	SBZR	output/results/drop_one_out/SBZR_none///Pohnpei/diff_means.tsv
0.965683636363636	0.00567636363636356	Pukapuka	none	SBZR	output/results/drop_one_out/SBZR_none///Pukapuka/diff_means.tsv
0.97204	-0.00234909090909097	Raivavae	none	SBZR	output/results/drop_one_out/SBZR_none///Raivavae/diff_means.tsv
0.935943636363636	0.00313272727272728	Rakahanga-Manihiki	none	SBZR	output/results/drop_one_out/SBZR_none///Rakahanga-Manihiki/diff_means.tsv
0.965643636363636	0.0014909090909092	Rapa Nui	none	SBZR	output/results/drop_one_out/SBZR_none///Rapa_Nui/diff_means.tsv
0.955923636363636	0.00111272727272736	Raro Matai + Nia Matai	none	SBZR	output/results/drop_one_out/SBZR_none///Raro_Matai_+_Nia_Matai/diff_means.tsv
0.972109090909091	1.6363636363627e-4	Rarotonga	none	SBZR	output/results/drop_one_out/SBZR_none///Rarotonga/diff_means.tsv
0.972685454545454	0.00467090909090905	Ratak + Rālik	none	SBZR	output/results/drop_one_out/SBZR_none///Ratak_+_Rālik/diff_means.tsv
0.976627272727273	0.00193999999999994	Rēkohou	none	SBZR	output/results/drop_one_out/SBZR_none///Rēkohou/diff_means.tsv
0.975629090909091	0.00422909090909084	Rimatara	none	SBZR	output/results/drop_one_out/SBZR_none///Rimatara/diff_means.tsv
0.9724	0.00285090909090912	Rotuma	none	SBZR	output/results/drop_one_out/SBZR_none///Rotuma/diff_means.tsv
0.979805454545454	0.00588181818181813	Rurutu	none	SBZR	output/results/drop_one_out/SBZR_none///Rurutu/diff_means.tsv
0.969907272727273	-0.00384181818181821	Sāmoa	none	SBZR	output/results/drop_one_out/SBZR_none///Sāmoa/diff_means.tsv
0.964569090909091	5.1454545454537e-4	Sorol	none	SBZR	output/results/drop_one_out/SBZR_none///Sorol/diff_means.tsv
0.969763636363636	0.00134909090909101	Tatakoto + Reao	none	SBZR	output/results/drop_one_out/SBZR_none///Tatakoto_+_Reao/diff_means.tsv
0.963449090909091	0.00590000000000008	Tokelau	none	SBZR	output/results/drop_one_out/SBZR_none///Tokelau/diff_means.tsv
0.948203636363636	1.0545454545464e-4	Tonga	none	SBZR	output/results/drop_one_out/SBZR_none///Tonga/diff_means.tsv
0.972156363636364	0.00259636363636373	Tuamotu + Puka-puka	none	SBZR	output/results/drop_one_out/SBZR_none///Tuamotu_+_Puka-puka/diff_means.tsv
0.969752727272727	0.00195999999999997	Tungaru	none	SBZR	output/results/drop_one_out/SBZR_none///Tungaru/diff_means.tsv
0.976156363636364	0.00505454545454533	Tupuai	none	SBZR	output/results/drop_one_out/SBZR_none///Tupuai/diff_means.tsv
0.975583636363636	8.7818181818187e-4	Tureia	none	SBZR	output/results/drop_one_out/SBZR_none///Tureia/diff_means.tsv
0.968123636363636	4.436363636365e-4	Tuvalu 31	none	SBZR	output/results/drop_one_out/SBZR_none///Tuvalu_31/diff_means.tsv
0.969216363636364	0.00251090909090923	Tuvalu 32	none	SBZR	output/results/drop_one_out/SBZR_none///Tuvalu_32/diff_means.tsv
0.948665454545454	0.00343999999999994	Ulithi + Yap	none	SBZR	output/results/drop_one_out/SBZR_none///Ulithi_+_Yap/diff_means.tsv
0.960492727272727	-4.4545454545454e-4	Uvea (Wallis)	none	SBZR	output/results/drop_one_out/SBZR_none///Uvea_(Wallis)/diff_means.tsv
0.645001818181818	0.00168545454545457	Vanuatu + Temotu	none	SBZR	output/results/drop_one_out/SBZR_none///Vanuatu_+_Temotu/diff_means.tsv
0.935938181818182	-0.0092872727272728	Woleai	none	SBZR	output/results/drop_one_out/SBZR_none///Woleai/diff_means.tsv
