dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Intercept_mean	b_EA033_mean	b_Carrying_capactiy_PC1:Shoreline_mean	b_Shoreline:Carrying_capactiy_PC2_mean	b_Shoreline:Settlement_date_grouping_finer_mean	b_Intercept_sd	b_EA033_sd	b_Carrying_capactiy_PC1:Shoreline_sd	b_Shoreline:Carrying_capactiy_PC2_sd	b_Shoreline:Settlement_date_grouping_finer_sd	b_Intercept_min	b_EA033_min	b_Carrying_capactiy_PC1:Shoreline_min	b_Shoreline:Carrying_capactiy_PC2_min	b_Shoreline:Settlement_date_grouping_finer_min	b_Intercept_max	b_EA033_max	b_Carrying_capactiy_PC1:Shoreline_max	b_Shoreline:Carrying_capactiy_PC2_max	b_Shoreline:Settlement_date_grouping_finer_max	dropped_observation_prediction_mean	dropped_observation_prediction_diff_mean
Mo-ava-mo-iki	1.0000449063508878	74205.37224292912	74433.51786421654	2.9402456140350877	1.2605	0.26049999999999995	0.7174264195973621	-5.590089736034483	0.9508959931713374	1.5751077312109483	5.574960385517241	0.2743751204165568	0.39765493097793386	0.7847758509380123	0.6527584397044903	0.29352895633851717	-0.582409	-7.05514	-2.74125	-1.76883	4.36385	1.73802	-4.04762	4.48403	4.0047	6.97237	1.2605	0.26049999999999995
Morane	1.0000292573318383	77567.70338193771	74696.22021533131	2.940526315789474	0.4944	0.5056	0.6838823299668966	-5.621012951206897	1.0266015292264932	1.6112273913070345	5.589751632931034	0.2741702458150108	0.39606023425616715	0.7833896609988806	0.6461553333959117	0.29434592932551185	-0.538874	-7.20751	-2.57024	-1.41362	4.43136	1.99499	-3.90635	4.37476	4.04742	6.91771	0.4944	0.5056
Napuka	1.0000460299082352	77244.95642741304	73879.93366251634	2.9471754385964912	0.6129	0.3871	0.697006754910719	-5.612801382241379	0.9874168509214862	1.6054418426386758	5.586114353103448	0.2689556518516903	0.3942948183956128	0.7760730865095353	0.6428562714398374	0.29521997212374124	-0.434013	-7.22568	-2.31114	-1.59163	4.35819	1.86558	-4.07826	4.47609	4.06115	6.76753	0.6129	0.3871
Nga Pu Toru	1.0000415274738246	77543.84032795449	75715.31715291228	2.9530526315789474	0.8338	0.16620000000000001	0.7040934391691379	-5.603644019482759	0.9794727646438632	1.5893523314759828	5.5810006579310345	0.27128987758532797	0.3958209983851112	0.7761564566826832	0.6425475618993961	0.29406725953805385	-0.55513	-7.34088	-2.35981	-1.43893	4.4105	1.87506	-4.01321	4.16253	3.91769	6.78234	0.8338	0.16620000000000001
Nia Matai	1.0000203351207897	75280.38147750644	74674.33244453075	2.9269473684210525	0.235	0.765	0.7132999758228449	-5.639235668448276	0.9299068366720862	1.5914403442440723	5.599788416206897	0.2706004786952805	0.40041768724941645	0.7820132934412002	0.6485086971421463	0.29543934716211834	-0.387851	-7.33291	-2.42457	-1.4208	4.45381	1.74224	-3.89372	3.99954	3.93104	6.93433	0.235	0.765
Niue	1.0000315588868491	78246.47383382225	74253.60164104172	2.9423684210526315	0.6384	0.36160000000000003	0.6887293008023327	-5.617310482413793	1.017797914551556	1.6165815928306897	5.583904215689655	0.2745723352223963	0.39697460653877187	0.785395592564127	0.6452321571104482	0.29087431672483954	-0.726628	-7.31621	-2.20678	-1.59304	4.37941	1.86859	-3.87288	4.74099	4.44758	6.8661	0.6384	0.36160000000000003
Nukuoro	1.0000326393309518	78834.24682191398	75687.02222209482	2.916859649122807	3.2362	2.2362	0.7761838743815258	-5.631056558793103	0.9116658191872591	1.58538407093795	5.502869459827586	0.26960810662952733	0.3924734855938495	0.7736646753031695	0.6282985343526035	0.29760226690073427	-0.485461	-7.45066	-2.31379	-1.46844	4.27127	1.80556	-3.8327	4.25356	3.88549	6.75106	3.2362	2.2362
Nukutaveke	1.0000419295207514	77777.95583325018	74490.76698717	2.948666666666667	1.1425	0.14250000000000007	0.7132275210635517	-5.594178285689655	0.9597014065948966	1.5894407958258965	5.573379413448276	0.26962559135712744	0.39310041897976883	0.7759844709515432	0.6391278208534764	0.29329945986619216	-0.418545	-7.18382	-2.38117	-1.82298	4.31114	1.79018	-3.85725	4.29152	4.13056	6.94352	1.1425	0.14250000000000007
Palau	1.0000323751731244	77436.03799854816	75733.4678294965	2.893315789473684	6.7019	5.7019	0.6973846379618069	-5.471355254137931	1.1601025596563448	1.453993678058224	5.546186070862069	0.2638799784630693	0.3889885885618667	0.7572487869595743	0.6488772213847755	0.2883572512644343	-0.554888	-7.15617	-2.28727	-1.5617	4.45286	1.82281	-3.97008	4.30355	3.8528	6.80519	6.7019	5.7019
Paumotu	1.0000468779348264	70364.68707065031	72728.8887885137	2.919631578947368	3.3953	2.3953	0.6180726252463259	-5.63233299862069	1.3476627336921845	1.8010124389777586	5.481772789137931	0.2801858788298825	0.38967932825148693	0.8210653309569541	0.6427364838210694	0.298988875079259	-0.815938	-7.27597	-2.54721	-1.30957	4.26038	1.71482	-4.10583	4.60895	4.30214	6.81883	3.3953	2.3953
