variable	Malakula	Kanaky (New Caledonia main isl+)	Santo	Ambrym	Efate	Pentecost	Tanna	Viti Levu + Yasawa	Erromango	Laguas_yan_gani	Maewo	Vanua Lava	Ambae	Duff + Reef Isl+s	Tungaru + Tuvalu	Ureparapara	Aneityum	Anuta	Aore	Aotearoa	Chuuk	East Futuna	Futuna + Aniwa	Hawaii	Hiu	Kadavu	Kapingamarangi	Kosrae	Lau	Lifou	Loh-Toga	Luangiua	Mangareva	Mangarongaro	Marshall Isl+s (greater)	Mo-ava-mo-iki	Mota	Mota Lava	Nengone	Niue	North Marquesas	Nukuoro	Paama	Palau	Pohnpei	Pukapuka	Raivavae	Rakahanga-Manihiki	Rapa Nui	Rekohou	Rimatara	Rotuma	Rurutu	Samoa	Southern Cook Isl+s	Tahiti	Tikopia	Tokelau	Tonga	Tuamotu	Tupuai	Ulithi (greater)	Uvea (Wallis)	Woleai	Yap	NONE
mean_Bulk_ESS	70344.3826274215	72351.5354271273	69419.4939865369	66377.5128588308	68612.6997663464	69836.1028400322	68241.7026142952	69378.7874825555	66799.3303166845	71518.0687240359	69496.9604410563	68687.4554538744	68128.9517693392	67669.4481705293	68852.318644391	68127.1719047275	68902.7524603721	67810.6744406026	68145.8380388469	78151.9791140256	69433.7718079658	67406.0478619517	67377.699400189	66841.9839619573	67201.4189618315	67992.4357101857	68230.9268287798	69913.160627146	67056.6036900887	70477.7238477603	68689.5857784896	66528.9451080787	68683.1230223564	65586.4175157678	68900.5322708571	66336.5351506193	69262.0481682663	69124.1282946435	69772.847991612	66409.0092321497	67524.1429518054	68104.6232796707	68799.3580785357	66142.6116966746	68602.9263567802	66902.3520721272	66958.7401633585	67053.0993435611	66845.724569837	69822.9130876272	67376.0732121176	67155.0211250741	67691.0349812419	65733.5197439282	67862.1813141505	68120.0289092912	67305.0110897825	64464.2438788625	66777.307419997	71141.884621299	68657.6856983811	70034.5521997092	68632.3173787164	67322.989972152	67361.2335647937	67774.4035660225
mean_Tail_ESS	76890.1193816101	73123.4284332493	75341.3029297824	72076.8626365974	73076.2274990405	74764.3429605733	73002.5492262929	75678.5546797208	72886.9015659716	75361.3502608511	74869.7763058623	73956.0107483199	73496.7224489122	73702.5731491589	74165.2313421556	73483.6140966992	73701.281526142	74351.4842740779	74634.154899712	75852.664697784	73972.1819833725	73206.3294193209	75347.4560387675	72982.7467038869	74071.1117087424	74466.3631776932	73354.3216502199	74626.4865750719	71572.6640408558	74889.3142794613	73287.120660155	72342.0445552125	74002.3181854222	70838.0150742766	74570.913343769	72467.3240865761	73784.4178578214	75175.165674694	73447.314524072	73168.7331379005	74345.5818014041	73135.5482294542	73183.985652471	73980.4267496033	73828.2961580908	73015.9744225988	72680.0176759365	73514.8967342067	73043.4080415479	74972.5523269838	74300.1560152854	74078.9227773905	72713.1218019191	74033.2073020002	73219.9819360243	73939.9995591662	73606.7695711584	71623.8036683199	72072.8595454249	74961.1500334112	75450.0617581493	75482.5811950159	74808.2109620653	74169.5300089201	74237.4575391474	73582.9115684387
diff_predicted_vs_observed	1.050625	1.332484375	1.177359375	1.358609375	1.38075	1.416890625	1.3725625	1.37265625	1.384546875	1.251015625	1.37965625	1.38171875	1.406375	1.39990625	1.3993125	1.410734375	1.396390625	1.41096875	1.381453125	1.389515625	1.3716875	1.417171875	1.411515625	1.38946875	1.395375	1.399609375	1.395671875	1.387765625	1.3931875	1.4000625	1.357484375	1.401125	1.40128125	1.4015	1.417140625	1.402875	1.389375	1.385046875	1.401578125	1.42040625	1.403578125	1.413203125	1.395328125	1.38128125	1.404484375	1.39815625	1.3989375	1.405234375	1.38478125	1.400546875	1.41309375	1.3966875	1.40278125	1.41928125	1.418375	1.389078125	1.402578125	1.403390625	1.408671875	1.404890625	1.404390625	1.418390625	1.403265625	1.400671875	1.41546875	1.37696923076923
dropped_observation_prediction	11.5527	48.1354	11.6931	3.0564	3.6149	4.9527	2.9166	2.7624	1.6139	15.9717	5.697	4.6826	3.112	2.6794	2.9801	1.9988	1.4394	0.9123	3.2326	15.8022	2.5198	0.9946	0.5701	0.1125	2.1291	1.476	1.9558	0.2469	4.4125	1.9349	4.7247	2.0322	0.6903	0.6265	1.1731	1.0256	1.6918	2.8092	0.7405	0.6405	2.1212	1.4778	2.3773	2.9182	0.3324	0.3789	0.7071	0.5283	0.4054	0.6417	0.4173	0.1981	0.4502	1.1518	0.6817	0.2546	0.4651	0.8331	3.26	0.9393	0.4858	1.2923	1.257	1.2948	0.5441	2.9786
dropped_observation_prediction_diff	21.4473	19.1354	12.3069	2.9436	1.3851	0.0472999999999999	2.0834	1.2376	1.3861	12.9717	2.697	1.6826	1.112	0.6794	0.9801	0.00120000000000009	0.4394	0.0877	2.2326	14.8022	1.5198	0.00539999999999996	0.4299	0.8875	1.1291	0.476	0.9558	0.7531	3.4125	0.9349	3.7247	1.0322	0.3097	0.3735	0.1731	0.0256000000000001	0.6918	1.8092	0.2595	0.3595	1.1212	0.4778	1.3773	1.9182	0.6676	0.6211	0.2929	0.4717	0.5946	0.3583	0.5827	0.8019	0.5498	0.1518	0.3183	0.7454	0.5349	0.1669	2.26	0.0607	0.5142	0.2923	0.257	0.2948	0.4559	0.9786
b_Carrying_capactiy_PC1_includes_zero	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
b_Carrying_capactiy_PC2_includes_zero	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
b_Intercept_includes_zero	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
b_EA033_includes_zero	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
b_Shoreline_includes_zero	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
b_Settlement_date_grouping_finer_includes_zero	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
dropped_observation_prediction_mean	11.5527	48.1354	11.6931	3.0564	3.6149	4.9527	2.9166	2.7624	1.6139	15.9717	5.697	4.6826	3.112	2.6794	2.9801	1.9988	1.4394	0.9123	3.2326	15.8022	2.5198	0.9946	0.5701	0.1125	2.1291	1.476	1.9558	0.2469	4.4125	1.9349	4.7247	2.0322	0.6903	0.6265	1.1731	1.0256	1.6918	2.8092	0.7405	0.6405	2.1212	1.4778	2.3773	2.9182	0.3324	0.3789	0.7071	0.5283	0.4054	0.6417	0.4173	0.1981	0.4502	1.1518	0.6817	0.2546	0.4651	0.8331	3.26	0.9393	0.4858	1.2923	1.257	1.2948	0.5441	2.76946461538462
dropped_observation_prediction_diff_mean	21.4473	19.1354	12.3069	2.9436	1.3851	0.0472999999999999	2.0834	1.2376	1.3861	12.9717	2.697	1.6826	1.112	0.6794	0.9801	0.00120000000000009	0.4394	0.0877	2.2326	14.8022	1.5198	0.00539999999999996	0.4299	0.8875	1.1291	0.476	0.9558	0.7531	3.4125	0.9349	3.7247	1.0322	0.3097	0.3735	0.1731	0.0256000000000001	0.6918	1.8092	0.2595	0.3595	1.1212	0.4778	1.3773	1.9182	0.6676	0.6211	0.2929	0.4717	0.5946	0.3583	0.5827	0.8019	0.5498	0.1518	0.3183	0.7454	0.5349	0.1669	2.26	0.0607	0.5142	0.2923	0.257	0.2948	0.4559	1.38636923076923
