rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	environ_PC3	Shoreline	mean_posterior_predict_nd
21	2	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.817850992439081
22	2	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.0313445431443444
23	3	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.41616942477270413
24	3	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.4714883682062459
25	3	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5300817942327999
26	3	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5986823427028364
27	3	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6722232543819319
28	3	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7568167620371169
29	3	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.847232934593652
30	3	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.94943917769120445
31	3	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0796276592416205
32	3	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.2576710571428007
33	3	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.403717772740257
34	4	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.2669722814326544
35	4	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.3023037086542014
36	4	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.3400580293478552
37	4	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.3844945098870993
38	4	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.43223392229999635
39	4	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.4863975336642044
40	4	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5446721258753638
41	4	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6104458209462011
42	4	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.694923284638599
43	4	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8110297266067437
44	4	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9050946132652342
