dropped_obs	b_Carrying_capactiy_PC1_max	b_Carrying_capactiy_PC1_min	b_Carrying_capactiy_PC1_mean	b_Intercept_max	b_Intercept_min	b_Intercept_mean	b_Carrying_capactiy_PC2_max	b_Carrying_capactiy_PC2_min	b_Carrying_capactiy_PC2_mean	b_EA033_max	b_EA033_min	b_EA033_mean	b_Shoreline_max	b_Shoreline_min	b_Shoreline_mean	b_Settlement_date_grouping_finer_max	b_Settlement_date_grouping_finer_min	b_Settlement_date_grouping_finer_mean	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Carrying_capactiy_PC1_includes_zero	b_Carrying_capactiy_PC2_includes_zero	b_Intercept_includes_zero	b_EA033_includes_zero	b_Shoreline_includes_zero	b_Settlement_date_grouping_finer_includes_zero
Mangaia	2.23466	-2.2374	-0.02073878203017483	3.50408	-9.16858	-2.6810810112060306	3.32131	-0.766599	1.2286463310545603	-3.65265	-7.02373	-5.3217063149137935	6.2725	1.95737	4.0234243910344825	4.67933	1.84183	3.2464720604310346	1.000051316938613	62009.2207186647	69400.81337394498	3.153573684210526	0.2303	0.7697	Yes	Yes	Yes	No	No	No
Mangareva	2.31174	-2.28228	-0.12946769721548113	3.811	-8.73344	-2.3426765687111595	3.15328	-0.844927	1.1725636445697794	-3.50719	-7.02999	-5.274390617844827	5.96377	1.89721	3.90144061362069	4.57727	2.03933	3.2080265281034483	1.0000591475045426	64461.74719606425	71576.71311687342	3.173901754385965	1.004	0.0040000000000000036	Yes	Yes	Yes	No	No	No
Mangarongaro	2.21443	-2.22238	-0.15356666467447758	3.7648	-8.5239	-2.3384467725126283	3.31767	-0.768743	1.1767233408027389	-3.73687	-7.03464	-5.276293653793103	6.39239	1.80238	3.9057876818103447	4.68051	2.00026	3.2363280875	1.0000209547028083	63877.39926211319	70969.76708437761	3.1506403508771927	0.288	0.712	Yes	Yes	Yes	No	No	No
Marutea	2.01379	-2.19161	-0.13496269146458337	3.86048	-8.33055	-2.328447474479302	3.20126	-0.854292	1.1736137056446043	-3.4488	-7.32798	-5.27064433637931	6.10338	1.84733	3.8926565975	4.57305	1.98229	3.2051479673275862	1.0000393785204427	65794.49772504612	71365.64632530324	3.1714070175438596	1.1245	0.12450000000000006	Yes	Yes	Yes	No	No	No
Mo-ava-mo-iki	2.38539	-2.31703	-0.21914587431709212	4.20618	-8.33628	-2.0693876183671467	3.08385	-0.864555	1.124332759266032	-3.28821	-7.16304	-5.173851591293103	6.17831	1.73278	3.750492740172414	4.66485	2.06546	3.217394510775862	1.0000646015484786	64296.14757088093	70004.2909799253	3.1588017543859648	2.9727	1.9727000000000001	Yes	Yes	Yes	No	No	No
Morane	2.20061	-2.4271	-0.10585866436369526	4.1568	-9.5719	-2.3674479645716686	3.19248	-0.921115	1.1454823790641622	-3.31728	-7.07904	-5.278024617241379	6.25832	1.9698	3.940086366551724	4.56933	2.03125	3.2110720000862067	1.0000593428160651	59534.62202031282	66922.22403509147	3.155142105263158	0.4502	0.5498000000000001	Yes	Yes	Yes	No	No	No
Napuka	1.94743	-2.1548	-0.09910392068866983	3.4207	-9.06635	-2.479595059205095	3.27696	-0.651876	1.2061101197146034	-3.41802	-7.3926	-5.294974521810345	6.02284	1.91232	3.944305163189655	4.7707	1.99394	3.235322078362069	1.0000573319967032	57367.38034171891	67652.13198678583	3.155419298245614	0.398	0.602	Yes	Yes	Yes	No	No	No
Nga Pu Toru	2.00466	-2.15352	-0.11526855225016314	3.72617	-8.55825	-2.398998290867536	3.32719	-1.13672	1.1845288925407655	-3.40079	-7.12386	-5.280084247068966	6.30836	1.9245	3.9172339013793103	4.63038	1.99284	3.219904374310345	1.0000315871435035	66236.73934783375	71862.29132522203	3.163275438596491	0.7597	0.24029999999999996	Yes	Yes	Yes	No	No	No
Nia Matai	2.00557	-2.37599	-0.12260003690749872	3.82644	-8.47793	-2.429564075208866	3.25256	-0.938478	1.2128109850629611	-3.51967	-7.41912	-5.318518045775862	6.02478	1.95982	3.9112442168965518	4.64673	2.07619	3.2342855969827586	1.000049720442286	67428.43894273497	71676.77304979746	3.1544666666666665	0.3382	0.6617999999999999	Yes	Yes	Yes	No	No	No
Niue	2.32731	-2.46726	-0.12176955306754363	3.48581	-8.75368	-2.3618369577353513	3.22187	-0.93092	1.1742946899865148	-3.52878	-7.18156	-5.278414021034482	6.16437	1.7396	3.9097469025	4.65067	1.99412	3.2090779063793105	1.0000643268893679	60333.84124386974	68582.37138019573	3.1698508771929825	0.9512	0.048799999999999955	Yes	Yes	Yes	No	No	No
Nukuoro	2.64815	-2.36323	-0.12520595626426784	3.72365	-8.83439	-2.3384644942916317	3.1731	-1.10652	1.1710464911302327	-3.2895	-7.40892	-5.2783119111206895	6.0389099999999996	1.89683	3.8999763929310345	4.5878	1.96949	3.199673547413793	1.0000594313222497	63317.86914405714	71327.49962000952	3.174677192982456	1.1456	0.14559999999999995	Yes	Yes	Yes	No	No	No
Nukutaveke	1.94807	-2.24258	-0.13378832721532072	3.63372	-8.54218	-2.3219084155904226	3.30706	-0.976426	1.169130577464569	-3.62904	-7.05092	-5.268236003275862	6.12776	1.81581	3.893782299137931	4.6167299999999996	2.02027	3.2012272975	1.0000441777962006	64878.82202292501	69682.94566359358	3.1699140350877193	1.2042	0.20419999999999994	Yes	Yes	Yes	No	No	No
Palau	2.54915	-2.0398	0.10273991745901742	3.36107	-9.40842	-2.8505117676121983	3.14581	-0.683129	1.2042719449125436	-3.30816	-6.95659	-5.110206726206896	6.32558	1.93254	3.9569015961206895	4.77085	2.11366	3.3080412988793104	1.000037751775743	61719.89612330141	70650.84159714422	3.116757894736842	8.3241	7.3241	Yes	Yes	Yes	No	No	No
Paumotu	2.39845	-1.95113	0.22615301991932715	3.12529	-9.79174	-2.7214251620413217	2.98697	-0.9372	1.0169652325019025	-3.60937	-7.16309	-5.344818161206897	7.12355	2.12476	4.367198716551724	4.551	1.80637	2.969642127413793	1.0000529333178454	65328.90327208206	71131.6244603517	3.134782456140351	7.8782	6.8782	Yes	Yes	Yes	No	No	No
Puka-puka	2.06483	-2.30071	-0.10512358516693965	3.23616	-8.56972	-2.4626432250387316	3.10738	-0.844928	1.2057136560372155	-3.34273	-7.24046	-5.292373239310344	6.03013	1.98105	3.9341871202586205	4.62233	1.95477	3.2332536555172413	1.0000576317813206	62771.3669107405	70729.20754462828	3.1580947368421053	0.5357	0.46430000000000005	Yes	Yes	Yes	No	No	No
Pukapuka	2.79815	-2.28737	-0.1080699602641802	3.35947	-9.39881	-2.4913287516677243	3.55264	-0.739958	1.2145040401060827	-3.47388	-7.18553	-5.298794319137931	6.29617	2.00695	3.9509093178448276	4.5849	2.05877	3.2480931478448274	1.0000242471381464	63870.01575324097	69618.37159819191	3.150687719298246	0.2242	0.7758	Yes	Yes	Yes	No	No	No
Raivavae	2.12421	-2.35166	-0.10006314272884828	3.31344	-8.61057	-2.423092301642957	3.18005	-0.750887	1.1760420473083915	-3.46099	-7.34489	-5.2840347643965515	6.3184	1.9072	3.934626175862069	4.731	2.02892	3.2227955387931035	1.0000378966557903	62103.29556186401	70646.87820556866	3.163340350877193	0.56	0.43999999999999995	Yes	Yes	Yes	No	No	No
Rakahanga-Manihiki	2.47394	-2.27422	-0.14703563662214242	3.91486	-8.46256	-2.347777198038938	3.06187	-0.937208	1.1717988512012758	-3.54175	-7.07592	-5.282503314913793	5.9223	1.67977	3.9182858612068965	4.57397	2.06269	3.2361244264655173	1.0000799676866166	62472.283259344535	70130.80996377773	3.1562508771929827	0.2109	0.7891	Yes	Yes	Yes	No	No	No
Ralik	2.09715	-2.25012	-0.12539180614042414	3.83617	-8.54049	-2.340878953417293	3.16812	-0.842147	1.1672743112317052	-3.39136	-7.31643	-5.266342436551724	6.27155	1.81743	3.902538450862069	4.53439	2.03781	3.2050643290517242	1.0000572742150615	64928.581855339304	70730.63229903986	3.1697087719298245	1.0951	0.09509999999999996	Yes	Yes	Yes	No	No	No
Rapa Nui	2.00911	-2.36775	0.005215545583167241	3.7019	-8.96628	-2.775648767865444	3.30467	-0.750777	1.2519058788554311	-3.37323	-7.13855	-5.325608211982758	6.33487	1.72955	4.041863286206897	4.65115	1.8696	3.263174853448276	1.0000191669572538	63154.88135573998	70297.4861910895	3.150880701754386	0.1899	0.8101	Yes	Yes	Yes	No	No	No
Raro Matai	2.17298	-2.37071	-0.09144791187059181	3.72074	-9.7046	-2.5155160439611897	3.3019	-0.760085	1.2184746267500939	-3.67167	-7.18639	-5.345365498793104	6.26672	2.00629	3.9659375506034484	4.82337	2.00688	3.2385858143965516	1.000042552857603	62181.78594679184	69469.58735038141	3.140759649122807	0.1075	0.8925	Yes	Yes	Yes	No	No	No
Rarotonga	2.20576	-2.19671	-0.07565338544962084	3.41502	-9.15642	-2.5166414213187784	3.46783	-0.862084	1.2023389090762413	-3.47853	-7.36994	-5.296951391551724	6.31708	1.76546	3.9596857774137932	4.62195	1.97319	3.232498624051724	1.0000201679253284	64078.30507589449	70317.9446368233	3.1605912280701753	0.4323	0.5677	Yes	Yes	Yes	No	No	No
