term	variable	value
r_phylo_id[Niu.+.Tuvalu,Intercept]	sd	0.585179009549392
r_phylo_id[Niue,Intercept]	sd	0.596579589793879
r_phylo_id[Nukuoro,Intercept]	sd	0.658127100164885
r_phylo_id[Nukutaveke.59,Intercept]	sd	0.576073734466964
r_phylo_id[Nukutaveke.61,Intercept]	sd	0.578309132949042
r_phylo_id[Palau,Intercept]	sd	0.615368320386188
r_phylo_id[Pohnpei,Intercept]	sd	0.485070625570078
r_phylo_id[Pukapuka,Intercept]	sd	0.544377955056097
r_phylo_id[Raivavae,Intercept]	sd	0.602446153352149
r_phylo_id[Rakahanga-Manihiki,Intercept]	sd	0.609853013212973
r_phylo_id[Rapa.Nui,Intercept]	sd	0.596425447684446
r_phylo_id[Raro.Matai.+.Nia.Matai,Intercept]	sd	0.607115287080058
r_phylo_id[Rarotonga,Intercept]	sd	0.585433368067081
r_phylo_id[Ratak.+.Rālik,Intercept]	sd	0.507877033016851
r_phylo_id[Rēkohou,Intercept]	sd	0.624242386033798
r_phylo_id[Rimatara,Intercept]	sd	0.601438398611649
r_phylo_id[Rotuma,Intercept]	sd	0.484335661606572
r_phylo_id[Rurutu,Intercept]	sd	0.604114591040068
r_phylo_id[Sāmoa,Intercept]	sd	0.541668450333039
r_phylo_id[Sorol,Intercept]	sd	0.485437690506268
r_phylo_id[Tatakoto.+.Reao,Intercept]	sd	0.576463852361671
r_phylo_id[Te.Henua.‘Enana.+.Te.Fenua.’Enata,Intercept]	sd	0.59617818661118
r_phylo_id[Tokelau,Intercept]	sd	0.542570892143764
r_phylo_id[Tonga,Intercept]	sd	0.594694423755691
r_phylo_id[Tuamotu.+.Puka-puka,Intercept]	sd	0.576435589957292
r_phylo_id[Tungaru,Intercept]	sd	0.523730586666115
r_phylo_id[Tupuai,Intercept]	sd	0.604548273553471
r_phylo_id[Tureia,Intercept]	sd	0.574185272265368
r_phylo_id[Tuvalu.31,Intercept]	sd	0.548876656946705
r_phylo_id[Tuvalu.32,Intercept]	sd	0.548989526271379
r_phylo_id[Ulithi.+.Yap,Intercept]	sd	0.532876247518174
r_phylo_id[Uvea.(Wallis),Intercept]	sd	0.622225019427371
r_phylo_id[Vanuatu.+.Temotu,Intercept]	sd	0.749851951574916
r_phylo_id[Woleai,Intercept]	sd	0.471512445189178
lprior	sd	0.101834677977543
lp__	sd	7.45682863778011
Intercept	min	-2.56352
environ_PC1	min	-0.878623
Shoreline	min	-1.7873
environ_PC2	min	-1.07367
environ_PC1:Shoreline	min	-0.669173
Shoreline:environ_PC2	min	-0.85642
moEA033	min	-2.59531
moSettlement_date_grouping_finer	min	-0.501255
moEA033:Shoreline	min	-6.2154
moSettlement_date_grouping_finer:Shoreline	min	-0.124024
sd_phylo_id__Intercept	min	0.00406351
simo_moEA0331[1]	min	1.29811e-05
simo_moEA0331[2]	min	7.02084e-07
simo_moEA0331[3]	min	7.85511e-06
simo_moSettlement_date_grouping_finer1[1]	min	2.09449e-06
simo_moSettlement_date_grouping_finer1[2]	min	1.63107e-06
simo_moSettlement_date_grouping_finer1[3]	min	4.46626e-07
simo_moSettlement_date_grouping_finer1[4]	min	4.67506e-06
simo_moSettlement_date_grouping_finer1[5]	min	1.95208e-08
simo_moSettlement_date_grouping_finer1[6]	min	2.55105e-06
simo_moSettlement_date_grouping_finer1[7]	min	1.60081e-06
simo_moSettlement_date_grouping_finer1[8]	min	8.8509e-08
simo_moSettlement_date_grouping_finer1[9]	min	1.08872e-06
simo_moSettlement_date_grouping_finer1[10]	min	4.92011e-06
simo_moEA033:Shoreline1[1]	min	0.000223063
simo_moEA033:Shoreline1[2]	min	1.59448e-05
simo_moEA033:Shoreline1[3]	min	1.16972e-06
simo_moSettlement_date_grouping_finer:Shoreline1[1]	min	2.86544e-06
simo_moSettlement_date_grouping_finer:Shoreline1[2]	min	3.69987e-06
simo_moSettlement_date_grouping_finer:Shoreline1[3]	min	2.92063e-06
simo_moSettlement_date_grouping_finer:Shoreline1[4]	min	2.57456e-06
simo_moSettlement_date_grouping_finer:Shoreline1[5]	min	1.95367e-06
simo_moSettlement_date_grouping_finer:Shoreline1[6]	min	5.27035e-07
simo_moSettlement_date_grouping_finer:Shoreline1[7]	min	2.87371e-07
simo_moSettlement_date_grouping_finer:Shoreline1[8]	min	9.56443e-06
simo_moSettlement_date_grouping_finer:Shoreline1[9]	min	1.15617e-07
simo_moSettlement_date_grouping_finer:Shoreline1[10]	min	4.89344e-07
r_phylo_id[Ānewetak,Intercept]	min	-2.90343
r_phylo_id[Aotearoa,Intercept]	min	-4.1969
r_phylo_id[Banaba,Intercept]	min	-3.15838
r_phylo_id[Bellona.+.Rennelle,Intercept]	min	-4.24962
r_phylo_id[Chuuk,Intercept]	min	-2.58534
r_phylo_id[East.Futuna,Intercept]	min	-4.43239
r_phylo_id[Fiji,Intercept]	min	-3.12626
r_phylo_id[Hawaii,Intercept]	min	-4.92464
r_phylo_id[Hereheretue,Intercept]	min	-3.71787
r_phylo_id[Kanaky,Intercept]	min	-2.78562
r_phylo_id[Kapingamarangi,Intercept]	min	-4.85198
r_phylo_id[Kosrae,Intercept]	min	-3.54431
r_phylo_id[Laguas.yan.gåni,Intercept]	min	-2.69549
r_phylo_id[Luangiua.+.Nukumanu,Intercept]	min	-4.46931
r_phylo_id[Mangaia,Intercept]	min	-3.45868
r_phylo_id[Mangareva,Intercept]	min	-3.37237
r_phylo_id[Māngarongaro,Intercept]	min	-5.44763
r_phylo_id[Marutea,Intercept]	min	-3.74745
r_phylo_id[Morane,Intercept]	min	-3.52087
r_phylo_id[Napuka,Intercept]	min	-3.49582
r_phylo_id[Ngā.Pū.Toru,Intercept]	min	-3.80238
r_phylo_id[Ngatik,Intercept]	min	-3.19566
r_phylo_id[Niu.+.Tuvalu,Intercept]	min	-3.58762
r_phylo_id[Niue,Intercept]	min	-3.97707
r_phylo_id[Nukuoro,Intercept]	min	-4.86037
r_phylo_id[Nukutaveke.59,Intercept]	min	-3.88069
r_phylo_id[Nukutaveke.61,Intercept]	min	-4.18048
r_phylo_id[Palau,Intercept]	min	-4.30964
r_phylo_id[Pohnpei,Intercept]	min	-2.76344
r_phylo_id[Pukapuka,Intercept]	min	-3.5562
r_phylo_id[Raivavae,Intercept]	min	-3.53624
r_phylo_id[Rakahanga-Manihiki,Intercept]	min	-3.96051
r_phylo_id[Rapa.Nui,Intercept]	min	-3.61884
r_phylo_id[Raro.Matai.+.Nia.Matai,Intercept]	min	-3.80016
r_phylo_id[Rarotonga,Intercept]	min	-3.72492
r_phylo_id[Ratak.+.Rālik,Intercept]	min	-3.07715
r_phylo_id[Rēkohou,Intercept]	min	-4.45523
r_phylo_id[Rimatara,Intercept]	min	-3.50857
r_phylo_id[Rotuma,Intercept]	min	-3.15712
r_phylo_id[Rurutu,Intercept]	min	-3.74901
r_phylo_id[Sāmoa,Intercept]	min	-3.57762
r_phylo_id[Sorol,Intercept]	min	-2.39265
r_phylo_id[Tatakoto.+.Reao,Intercept]	min	-3.87234
r_phylo_id[Te.Henua.‘Enana.+.Te.Fenua.’Enata,Intercept]	min	-3.32704
r_phylo_id[Tokelau,Intercept]	min	-3.73782
r_phylo_id[Tonga,Intercept]	min	-3.98241
r_phylo_id[Tuamotu.+.Puka-puka,Intercept]	min	-3.73854
r_phylo_id[Tungaru,Intercept]	min	-3.04508
r_phylo_id[Tupuai,Intercept]	min	-4.22499
r_phylo_id[Tureia,Intercept]	min	-4.16196
r_phylo_id[Tuvalu.31,Intercept]	min	-3.67152
r_phylo_id[Tuvalu.32,Intercept]	min	-3.72288
r_phylo_id[Ulithi.+.Yap,Intercept]	min	-3.95942
r_phylo_id[Uvea.(Wallis),Intercept]	min	-4.27905
r_phylo_id[Vanuatu.+.Temotu,Intercept]	min	-1.55781
r_phylo_id[Woleai,Intercept]	min	-2.48026
lprior	min	22.6295
lp__	min	-238.155
Intercept	max	3.74704
environ_PC1	max	1.28306
Shoreline	max	3.08965
environ_PC2	max	0.815289
environ_PC1:Shoreline	max	0.915461
Shoreline:environ_PC2	max	0.599374
moEA033	max	6.43333
moSettlement_date_grouping_finer	max	0.401405
moEA033:Shoreline	max	1.47609
moSettlement_date_grouping_finer:Shoreline	max	0.601259
sd_phylo_id__Intercept	max	2.097
simo_moEA0331[1]	max	0.997416
