group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Lau	1.9134	1.6565551175514048	0	13	-0.9134	0.9134	1	spatialphylo
Lifou	1.6138	1.4290744506072934	0	10	-0.6137999999999999	0.6137999999999999	1	spatialphylo
Loh-Toga	3.0791	2.0767461273462735	0	13	-2.0791	2.0791	1	spatialphylo
Luangiua	1.0588	1.2104912593277535	0	12	-0.05879999999999996	0.05879999999999996	1	spatialphylo
Mangareva	1.0663	1.146750109475189	0	9	-0.06630000000000003	0.06630000000000003	1	spatialphylo
Mo-ava-mo-iki (Bellona + Rennelle)	1.124	1.2129184297023898	0	13	-0.12400000000000011	0.12400000000000011	1	spatialphylo
Mota	0.9363	1.076363398586454	0	9	0.06369999999999998	0.06369999999999998	1	spatialphylo
Mota Lava	1.6331	1.4186210341609404	0	11	-0.6331	0.6331	1	spatialphylo
Māngarongaro	0.856	1.049749587958834	0	9	0.14400000000000002	0.14400000000000002	1	spatialphylo
Nengone	1.2622	1.2741324504737075	0	10	-0.2622	0.2622	1	spatialphylo
Niue	0.8791	1.0519476457433319	0	8	0.12090000000000001	0.12090000000000001	1	spatialphylo
Nukuoro	1.0075	1.2182742586203328	0	11	-0.007500000000000062	0.007500000000000062	1	spatialphylo
Paama	2.3506	1.8038306518357123	0	13	-1.3506	1.3506	1	spatialphylo
Palau	1.8794	1.713286075037526	0	16	-0.8794	0.8794	1	spatialphylo
Pohnpei	0.7574	0.9510182351397669	0	7	0.24260000000000004	0.24260000000000004	1	spatialphylo
Pukapuka	0.639	0.8832649747961084	0	8	0.361	0.361	1	spatialphylo
Raivavae	1.1127	1.1920322160413317	0	10	-0.11270000000000002	0.11270000000000002	1	spatialphylo
Rakahanga-Manihiki	0.9637	1.0898169938609008	0	8	0.0363	0.0363	1	spatialphylo
Rapa Nui	0.9683	1.1071665149241	0	9	0.03169999999999995	0.03169999999999995	1	spatialphylo
Ratak + Rālik	1.0356	1.155537176648446	0	8	-0.035600000000000076	0.035600000000000076	1	spatialphylo
Rimatara	1.0844	1.1674814522270276	0	9	-0.08440000000000003	0.08440000000000003	1	spatialphylo
Rotuma	0.9746	1.1621918555001576	0	11	0.025399999999999978	0.025399999999999978	1	spatialphylo
Rurutu	0.9863	1.061048958573189	0	8	0.013700000000000045	0.013700000000000045	1	spatialphylo
Rēkohou	1.2884	1.416483703615492	0	10	-0.2884	0.2884	1	spatialphylo
Sāmoa	1.6887	1.5551315550188483	0	13	-0.6887000000000001	0.6887000000000001	1	spatialphylo
Tahiti	0.6113	0.8601664365864685	0	7	0.38870000000000005	0.38870000000000005	1	spatialphylo
Te Henua ‘Enana (North Marquesas)	1.6949	1.6964379682670445	0	11	-0.6949000000000001	0.6949000000000001	1	spatialphylo
Tikopia	1.0318	1.2631501552988398	0	9	-0.03180000000000005	0.03180000000000005	1	spatialphylo
Tokelau	0.8414	1.050598122805083	0	8	0.15859999999999996	0.15859999999999996	1	spatialphylo
Tonga	1.6238	1.5316357761605992	0	12	-0.6237999999999999	0.6237999999999999	1	spatialphylo
Tuamotu	1.5314	1.5651386538899965	0	12	-0.5314000000000001	0.5314000000000001	1	spatialphylo
Tupuai	1.0985	1.1426846996579079	0	8	-0.09850000000000003	0.09850000000000003	1	spatialphylo
Ulithi (greater)	0.8929	1.0317635599323909	0	9	0.10709999999999997	0.10709999999999997	1	spatialphylo
Uvea (Wallis)	0.9141	1.0721175931833977	0	9	0.08589999999999998	0.08589999999999998	1	spatialphylo
Woleai	0.8273	1.0155677465264334	0	9	0.17269999999999996	0.17269999999999996	1	spatialphylo
Yap	1.1513	1.264977599340274	0	10	-0.1513	0.1513	1	spatialphylo
